operation,operation_label,seed,component,power_delta_uW,delta_definition
clean_read,Clean read,11,internal,36.608660593,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,11,switching,-19.561441150,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,11,leakage,0.000136254,Hsiao SECDED minus conventional SECDED
correction,Correction,11,internal,45.486493036,Hsiao SECDED minus conventional SECDED
correction,Correction,11,switching,6.628280971,Hsiao SECDED minus conventional SECDED
correction,Correction,11,leakage,0.000109139,Hsiao SECDED minus conventional SECDED
detection,Detection,11,internal,41.135353967,Hsiao SECDED minus conventional SECDED
detection,Detection,11,switching,-0.601343345,Hsiao SECDED minus conventional SECDED
detection,Detection,11,leakage,0.000102830,Hsiao SECDED minus conventional SECDED
idle,Idle,13,internal,0.000116415,Hsiao SECDED minus conventional SECDED
idle,Idle,13,switching,1.853855792,Hsiao SECDED minus conventional SECDED
idle,Idle,13,leakage,-0.000003411,Hsiao SECDED minus conventional SECDED
clean_write,Write,13,internal,0.580097549,Hsiao SECDED minus conventional SECDED
clean_write,Write,13,switching,6.713147741,Hsiao SECDED minus conventional SECDED
clean_write,Write,13,leakage,0.000016257,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,13,internal,26.048859581,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,13,switching,-47.346868087,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,13,leakage,0.000052808,Hsiao SECDED minus conventional SECDED
correction,Correction,13,internal,36.115292460,Hsiao SECDED minus conventional SECDED
correction,Correction,13,switching,-20.514125936,Hsiao SECDED minus conventional SECDED
correction,Correction,13,leakage,0.000028137,Hsiao SECDED minus conventional SECDED
detection,Detection,13,internal,30.533410609,Hsiao SECDED minus conventional SECDED
detection,Detection,13,switching,-27.553236578,Hsiao SECDED minus conventional SECDED
detection,Detection,13,leakage,0.000020805,Hsiao SECDED minus conventional SECDED
idle,Idle,17,internal,-0.019499566,Hsiao SECDED minus conventional SECDED
idle,Idle,17,switching,-2.845743438,Hsiao SECDED minus conventional SECDED
idle,Idle,17,leakage,0.000057867,Hsiao SECDED minus conventional SECDED
clean_write,Write,17,internal,-0.402680599,Hsiao SECDED minus conventional SECDED
clean_write,Write,17,switching,14.342367649,Hsiao SECDED minus conventional SECDED
clean_write,Write,17,leakage,0.000077080,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,17,internal,25.643268601,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,17,switching,-34.665165003,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,17,leakage,0.000090438,Hsiao SECDED minus conventional SECDED
correction,Correction,17,internal,33.601420001,Hsiao SECDED minus conventional SECDED
correction,Correction,17,switching,-9.130046237,Hsiao SECDED minus conventional SECDED
correction,Correction,17,leakage,0.000064688,Hsiao SECDED minus conventional SECDED
detection,Detection,17,internal,28.935261071,Hsiao SECDED minus conventional SECDED
detection,Detection,17,switching,-15.048251953,Hsiao SECDED minus conventional SECDED
detection,Detection,17,leakage,0.000057867,Hsiao SECDED minus conventional SECDED
idle,Idle,19,internal,-0.006286427,Hsiao SECDED minus conventional SECDED
idle,Idle,19,switching,6.815302186,Hsiao SECDED minus conventional SECDED
idle,Idle,19,leakage,0.000011937,Hsiao SECDED minus conventional SECDED
clean_write,Write,19,internal,-0.807223841,Hsiao SECDED minus conventional SECDED
clean_write,Write,19,switching,14.534103684,Hsiao SECDED minus conventional SECDED
clean_write,Write,19,leakage,0.000032344,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,19,internal,21.285144612,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,19,switching,-10.139017832,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,19,leakage,0.000046896,Hsiao SECDED minus conventional SECDED
correction,Correction,19,internal,30.935043469,Hsiao SECDED minus conventional SECDED
correction,Correction,19,switching,16.743491870,Hsiao SECDED minus conventional SECDED
correction,Correction,19,leakage,0.000020691,Hsiao SECDED minus conventional SECDED
detection,Detection,19,internal,25.275396183,Hsiao SECDED minus conventional SECDED
detection,Detection,19,switching,10.255258530,Hsiao SECDED minus conventional SECDED
detection,Detection,19,leakage,0.000014211,Hsiao SECDED minus conventional SECDED
idle,Idle,23,internal,-0.001222361,Hsiao SECDED minus conventional SECDED
idle,Idle,23,switching,1.843611244,Hsiao SECDED minus conventional SECDED
idle,Idle,23,leakage,0.000065370,Hsiao SECDED minus conventional SECDED
clean_write,Write,23,internal,0.172527507,Hsiao SECDED minus conventional SECDED
clean_write,Write,23,switching,13.121170923,Hsiao SECDED minus conventional SECDED
clean_write,Write,23,leakage,0.000089813,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,23,internal,19.867904485,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,23,switching,-33.154326957,Hsiao SECDED minus conventional SECDED
clean_read,Clean read,23,leakage,0.000088335,Hsiao SECDED minus conventional SECDED
correction,Correction,23,internal,31.143659726,Hsiao SECDED minus conventional SECDED
correction,Correction,23,switching,-16.320031136,Hsiao SECDED minus conventional SECDED
correction,Correction,23,leakage,0.000064574,Hsiao SECDED minus conventional SECDED
detection,Detection,23,internal,26.197638363,Hsiao SECDED minus conventional SECDED
detection,Detection,23,switching,-22.414664272,Hsiao SECDED minus conventional SECDED
detection,Detection,23,leakage,0.000056104,Hsiao SECDED minus conventional SECDED
