operation,operation_label,seed,energy_delta_pJ_per_operation,delta_definition,lower_energy_architecture,qualification
clean_read,Clean read,11,0.170538203,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
correction,Correction,11,0.521353060,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
detection,Detection,11,0.405497860,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
idle,Idle,13,0.018546382,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_write,Write,13,0.072962689,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_read,Clean read,13,-0.213062698,Hsiao SECDED minus conventional SECDED,Hsiao SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
correction,Correction,13,0.156073772,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
detection,Detection,13,0.029813964,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
idle,Idle,17,-0.028662749,Hsiao SECDED minus conventional SECDED,Hsiao SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_write,Write,17,0.139452487,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_read,Clean read,17,-0.090254788,Hsiao SECDED minus conventional SECDED,Hsiao SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
correction,Correction,17,0.244807582,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
detection,Detection,17,0.138923755,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
idle,Idle,19,0.068116755,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_write,Write,19,0.137323584,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_read,Clean read,19,0.111504225,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
correction,Correction,19,0.476969851,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
detection,Detection,19,0.355445339,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
idle,Idle,23,0.018431668,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_write,Write,23,0.132988913,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
clean_read,Clean read,23,-0.132914378,Hsiao SECDED minus conventional SECDED,Hsiao SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
correction,Correction,23,0.148294191,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
detection,Detection,23,0.037845100,Hsiao SECDED minus conventional SECDED,Conventional SECDED,LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
