operation,component,mean_power_delta_uW
idle,internal,-0.006722985
idle,switching,1.916756446
idle,leakage,0.000032941
clean_write,internal,-0.114319846
clean_write,switching,12.177697499
clean_write,leakage,0.000053873
clean_read,internal,25.890767574
clean_read,switching,-28.973363806
clean_read,leakage,0.000082946
correction,internal,35.456381738
correction,switching,-4.518486094
correction,leakage,0.000057446
detection,internal,30.415412039
detection,switching,-11.072447524
detection,leakage,0.000050363
