architecture,seed,operation,functional_coverage_percent,combinational_coverage_percent,sequential_coverage_percent,macro_output_activity_roots
Hsiao SECDED,11,clean_read,99.356061,99.272066,100.000000,72
Hsiao SECDED,11,detection,99.356061,99.272066,100.000000,72
Hsiao SECDED,11,correction,99.356061,99.272066,100.000000,72
Hsiao SECDED,13,idle,99.355572,99.268070,100.000000,72
Hsiao SECDED,13,clean_read,99.355572,99.268070,100.000000,72
Hsiao SECDED,13,detection,99.355572,99.268070,100.000000,72
Hsiao SECDED,13,correction,99.355572,99.268070,100.000000,72
Hsiao SECDED,13,clean_write,99.355572,99.268070,100.000000,72
Hsiao SECDED,17,idle,99.352134,99.265381,100.000000,72
Hsiao SECDED,17,clean_read,99.352134,99.265381,100.000000,72
Hsiao SECDED,17,detection,99.352134,99.265381,100.000000,72
Hsiao SECDED,17,correction,99.352134,99.265381,100.000000,72
Hsiao SECDED,17,clean_write,99.352134,99.265381,100.000000,72
Hsiao SECDED,19,idle,99.354594,99.265381,100.000000,72
Hsiao SECDED,19,clean_read,99.354594,99.265381,100.000000,72
Hsiao SECDED,19,detection,99.354594,99.265381,100.000000,72
Hsiao SECDED,19,correction,99.354594,99.265381,100.000000,72
Hsiao SECDED,19,clean_write,99.354594,99.265381,100.000000,72
Hsiao SECDED,23,idle,99.355572,99.264706,100.000000,72
Hsiao SECDED,23,clean_read,99.355572,99.264706,100.000000,72
Hsiao SECDED,23,detection,99.355572,99.264706,100.000000,72
Hsiao SECDED,23,correction,99.355572,99.264706,100.000000,72
Hsiao SECDED,23,clean_write,99.355572,99.264706,100.000000,72
Conventional SECDED,11,clean_read,99.300124,99.237005,100.000000,72
Conventional SECDED,11,detection,99.300124,99.237005,100.000000,72
Conventional SECDED,11,correction,99.300124,99.237005,100.000000,72
Conventional SECDED,13,idle,99.302421,99.236277,100.000000,72
Conventional SECDED,13,clean_read,99.302421,99.236277,100.000000,72
Conventional SECDED,13,detection,99.302421,99.236277,100.000000,72
Conventional SECDED,13,correction,99.302421,99.236277,100.000000,72
Conventional SECDED,13,clean_write,99.302421,99.236277,100.000000,72
Conventional SECDED,17,idle,99.303564,99.239905,100.000000,72
Conventional SECDED,17,clean_read,99.303564,99.239905,100.000000,72
Conventional SECDED,17,detection,99.303564,99.239905,100.000000,72
Conventional SECDED,17,correction,99.303564,99.239905,100.000000,72
Conventional SECDED,17,clean_write,99.303564,99.239905,100.000000,72
Conventional SECDED,19,idle,99.302421,99.235547,100.000000,72
Conventional SECDED,19,clean_read,99.302421,99.235547,100.000000,72
Conventional SECDED,19,detection,99.302421,99.235547,100.000000,72
Conventional SECDED,19,correction,99.302421,99.235547,100.000000,72
Conventional SECDED,19,clean_write,99.302421,99.235547,100.000000,72
Conventional SECDED,23,idle,99.298390,99.235547,100.000000,72
Conventional SECDED,23,clean_read,99.298390,99.235547,100.000000,72
Conventional SECDED,23,detection,99.298390,99.235547,100.000000,72
Conventional SECDED,23,correction,99.298390,99.235547,100.000000,72
Conventional SECDED,23,clean_write,99.298390,99.235547,100.000000,72
