seed,architecture,implementation_id,run_id,internal_power_w,switching_power_w,leakage_power_w,total_power_w,energy_per_op_pj,sequential_internal_power_w,sequential_switching_power_w,sequential_leakage_power_w,sequential_total_power_w,combinational_internal_power_w,combinational_switching_power_w,combinational_leakage_power_w,combinational_total_power_w,clock_internal_power_w,clock_switching_power_w,clock_leakage_power_w,clock_total_power_w,component_sum_residual_w,maximum_group_sum_residual_w,published_total_power_error_w,published_energy_error_pj,trace_total_time_ps,useful_operations,rtl_hashes_json,run_metadata_sha256,effective_environment_sha256,final_odb_sha256,final_netlist_sha256,final_sdc_sha256,final_spef_sha256,vcd_sha256,power_report_sha256,power_command_sha256,evidence_join_status
11,secded_comb,secded-rtl-combinational-72-64-v1,secded-comb-seed-11,0.006786616984755,0.007788169197738,7.300083204598e-09,0.01457479409873,145.76251578139872,0.001906127785333,0.0003037784772459,2.943972621239e-09,0.002209909260273,0.003994582220912,0.006923473905772,3.719912600175e-09,0.01091806031764,0.0008859023801051,0.0005609187064692,6.362095295032e-10,0.001446821610443,-6.161537963872421e-10,4.598404900781061e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",0d3e9c2f4e11d636c65b7ed291d3e0dbf8b3d452eddf454248c81ce91729b43a,88cf3494ddc098cea9ec777ca3ca128fb13466bdab2ee9b2d3dd04b46dcad8b2,c3c0b83b5f2d33489f9098637272c131d54f9188e3c66efa92870d949301a4e5,733d54854db80e3a501fb6f2db220814903cc5b41168c7761b153d183bfbadbb,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,cc07fe2b8a4ff8bdd00b582d09cdbe194135ecf07a1f2ca57cf35e6c8e53d0de,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,c84d002980bfac0627856e413e8fcfc06606fb77e52f49e5f7442c6ec6233e03,3ef2e233f7d61a4cd587912e7d1993cef2b5b9b392dab1020ba25b8a5f30deb1,PASS
13,secded_comb,secded-rtl-combinational-72-64-v1,secded-comb-seed-13,0.006703948136419,0.007899085991085,7.288157632956e-09,0.01460304111242,146.0450141653124,0.001905704382807,0.0002984493039548,2.943972621239e-09,0.00220415671356,0.003951877821237,0.007023685611784,3.715107999014e-09,0.01097556762397,0.0008463640115224,0.0005769527051598,6.290884480009e-10,0.001423317356966,3.032416349274536e-10,1.920852600242884e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",ca0601ae72c63f18350efba55937ce2267edd619821f3d3a4ce583f71f6fcc7c,36681d5410ffdd8cf8629ba4e8f6522c7b350f9a91acef9039120642199d2113,e8031339a83ebb9830d7f02362c3df11b15d916392ee60ffe64da34808fef42e,1f899de80aa9b1e44503647ae74dd7dd491009b3a6d228fc31ef74becc0f7f62,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,4efbf3ca52c175e7ed694251524c270280d09009758e3f7bd0060efef02159f8,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,29d1bbd3c61f9338421a8d27d0fee31f140ec57762169771407a690a3e62c9ec,165cdf4ec3356894c8f572dd3690982e47cc558fcd18c122c4fffbcaf0d84f47,PASS
17,secded_comb,secded-rtl-combinational-72-64-v1,secded-comb-seed-17,0.006813587620854,0.007834433577955,7.337091378901e-09,0.01464802864939,146.49493452254939,0.001905550132506,0.000300061510643,2.943972621239e-09,0.002205614699051,0.00396935082972,0.006951368879527,3.720403096708e-09,0.0109207239002,0.0009386811289005,0.000583004555665,6.727257639838e-10,0.00152168632485,-1.1348962221380265e-10,5.529727499682668e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",56f5be1f9079912b483677eb466e1fe43b2d345983c0640d7dc0273b8b13ab4f,fe897dfe1cf94327bd5d907d5dcc9ca018f6e7b84d9600712d37e0b305761dda,f5fc9bb2f572551a7a50eabaf9388af80fff8b6b3ca89bd8af3765f591fbdf5a,89155e6fed470ff5d8343050d1a69b347fecc58c2aa493c43ad9866ceb209bb8,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,c1480b4c634ba1384f4e9d31be82a2c4ba03c1686183577d715a4e90891c1130,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,08d717f1e77dbf17f6e7ab8fdc82ace34fdb3d7139530d480e541ff578793314,1d1c2bfd4c4d705f70c5701334ca3b1c1672c553d673d5eb87f5dd0c377e69e5,PASS
19,secded_comb,secded-rtl-combinational-72-64-v1,secded-comb-seed-19,0.006754889618605,0.007814452052116,7.305763105592e-09,0.01456934958696,145.70806521918695,0.001906019519083,0.0003032072854694,2.943972621239e-09,0.002209229860455,0.003952223807573,0.006947261281312,3.715107999014e-09,0.01089948881418,0.0008966442546807,0.000563980313018,6.46693476547e-10,0.001460625324398,-6.104758955294276e-10,5.587926999589543e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",9021f0aa0e0baaccdebe382307bbb9e7cd24597f604e6d0a4f00a11957ca885b,d7d1998a64c11434a43aa7d8655270efaaa19cc81e9a17230a9396383564acf2,8b3c348d7b8e9878ee7f004ef42c58a0baac2c29c1124166b9125ae72aafd0b0,15d70f212a0554d867e3fc8d391c91b4e89c0cd3968e942822e4c3fd0ebf65c4,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,679002730b6253109ac34c67b0642229c5917e52c44d2228455fcf60c3083fe9,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,714156c4cd8966afcb890e42442fa487d9c3511e6b325d54f2cebbb159106282,8afe1c8ab3aa8fe96152490354699cc36f32e84cb9573f5ff2a8e807d6da46a2,PASS
23,secded_comb,secded-rtl-combinational-72-64-v1,secded-comb-seed-23,0.006707548629493,0.007774383760989,7.270191115794e-09,0.0144819393754,144.8338756933754,0.001906522200443,0.0003078777517658,2.943972621239e-09,0.002214402891695,0.003951997961849,0.006905101705343,3.715107999014e-09,0.01085710339248,0.0008490306208842,0.0005614056717604,6.111217087934e-10,0.001410436932929,2.8527311589365834e-10,3.841704000057122e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",7b9106519b75758874d97e1384ad090b9d1eb5b9960930687ee6fbdd8e13c1b1,06686dda7ed8f9b19eaae80d15e7ad301281faf27228cfa95b8127c4a19f1db6,8ecab5fee191b20da37dee4e96cbca1dbff5fd100b0726031de3fdae2102cbac,82919357520e917b13ea51ee319fd289d65e68733ad1f62907805eeb46dee46e,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,1696b289e417d58f4b4676033d5700b5fbbf3b9b1912bd3fc0bc93b754c7390d,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,4a1aa2b8233f59d79f5d07ddf2602af089e8b2f74da9a91c6afcd761b3de6def,9c17583c4eae448e82db2fb1315e970d9bcdee6628c9c4279d1cf65f0256ed71,PASS
11,secded_pipe,secded-rtl-pipelined-72-64-v1,secded-pipe-seed-11,0.007129232399166,0.00394526636228,9.768537090338e-09,0.01107450760901,110.75615059770901,0.003323568031192,0.0004484336532187,5.339436004448e-09,0.003772007068619,0.002344869542867,0.002528409007937,3.352539135193e-09,0.004873281810433,0.001460795174353,0.0009684225660749,1.076557176738e-09,0.002429218962789,9.209730894577106e-10,1.135049399088317e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",a69b9f49ca50aa388659b2c4362f04eb329fda0bcc24dd7f38da2d53768b0c16,923f20cb0c7ecc102af6de051eae81431371c7d4f22eb773e61402fd519fdde6,8603b1ce1e6242128d330e3653b8f41ab6737cce909588f4e9404003c003188b,97f40a2794c04002b6445de19763d55cc4311988c4abe96092410ae307eface7,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,136ae58d308eaf264fe4daeef0d780e6f56b0402327f3bf776c57eae3b140ecb,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,27dd386df80d519544dd3f365e3805dfc04eb0deb1237ec36b3039b1df2973b2,074fb932bb10964b4c2a5f10941ff6f94fe7359af12dc9f363b69542bb085694,PASS
13,secded_pipe,secded-rtl-pipelined-72-64-v1,secded-pipe-seed-13,0.00719641149044,0.003931290004402,9.801802924869e-09,0.01112771127373,111.28824044857373,0.003322894917801,0.000447661470389,5.339436004448e-09,0.003770561655983,0.002343276981264,0.002494275569916,3.352539135193e-09,0.004837555810809,0.001530236797407,0.0009893550304696,1.109823233314e-09,0.002519592875615,2.2914925165706812e-11,2.7939679996674682e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",da2a52fc0e25502cfcf9436b6d8aaef397b6d1f91641bf1bf6aaa91c680b6eee,16a25a36f2aecc1b66e4be450cd30f4af5d79aae5ffd6a4554db732649025f37,f4ebbd4fd5c83b7c048bc6a33cec45ef9be3e63085a64d63c992fc7087046b84,9ae5240f82f598bc652f6cd8eb07763962839844019999ea85c075f65b0765fe,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,c01c19494b0e6c66996639b9f08ddd797a393c04ec62a914022d0289d6323fda,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,1dcc0b3ba6ed12f3e03109c9390e477030471a0e5f83ea695c7f709ecff21c7c,d72273cb42bee313061cb2949c653ab10349dd770e75bef089c25a0634e89a32,PASS
17,secded_pipe,secded-rtl-pipelined-72-64-v1,secded-pipe-seed-17,0.007249136455357,0.003952791448683,9.837583192507e-09,0.01120193768293,112.03057876698293,0.003323316108435,0.0004573253390845,5.339436004448e-09,0.003780646715313,0.002345354761928,0.002501732669771,3.352539135193e-09,0.004847090691328,0.001580468611792,0.0009937334107235,1.145602612773e-09,0.002574203303084,5.869319266715856e-11,3.0267979997389283e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",b11dc7e04e816831b9781ae2ce3069d2302878dde7fcb076bd985bab96cfef17,3049e2966823a0df2c665829f94d0bc0acef4eb8c54b098825e598dbe3b94c9d,e0f16e6591e29bd1c412bbeb22a7b4a60112fac8421a946933c3b34be2371357,aa93c1d1b6f5b599bda6d40bb3e9e35a7a1b80c484748619e1a4e68727aa4a92,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,21d16a11f87fbd0e17d869c64f4a0e5d2e1998bb2aa19b14a16c503ed05500a8,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,68bf8e26a40c9e9c2a935778eb982d6c966d6c9abb178ca67ca7d9cf26f43bd8,02a0363dc9f2607ba1e5504b471c8e3fae6755aa679a5961d46e54e8a37aeb83,PASS
19,secded_pipe,secded-rtl-pipelined-72-64-v1,secded-pipe-seed-19,0.007258250378072,0.003925839904696,9.836550241005e-09,0.01118410099298,111.85219403079297,0.003323237877339,0.0004532519960776,5.339436004448e-09,0.003776495112106,0.002343558240682,0.002489501843229,3.352539135193e-09,0.00483306357637,0.0015914485557,0.0009830879280344,1.144570216383e-09,0.002574537647888,-8.736617575222372e-10,5.704351000238028e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",d038bce3fe90dfc4be2fee1ff5daded69e22fbd9f71d441598f3a8747e6685d0,a6c7e7fdeb50c998d1185237d9b03cf812677f94415a5cbd44743a875956def3,c658e07f7c0faa360bac4b09585cd2f6f8763ce1169fa7ac3b602e02554100b7,8c5e547d42d6e2ed20192b7818ef4641129aa596e41ea383fad817ece46b4851,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,e7efea78378399059e498f5c6de601ac5aae417b9323b8b5d2b93daba2f479a9,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,e7da21d95bfa42f085bc6c747ee0086430b95215f4b4135bb51b7448dc6f4040,67b8da41045e7098eb93966547f602e36ee19c5ff0b0da79320adff43db669c3,PASS
23,secded_pipe,secded-rtl-pipelined-72-64-v1,secded-pipe-seed-23,0.007218887563795,0.004001861438155,9.822707980334e-09,0.01122075971216,112.21881788131216,0.003323614597321,0.0004453200672287,5.339436004448e-09,0.00376893999055,0.002345941029489,0.002548245014623,3.352539135193e-09,0.00489418907091,0.001549333916046,0.001008298015222,1.1307274006e-09,0.002557633211836,-8.875020197918193e-10,2.5611359994598404e-09,0.0,0.0,1000100000,100000,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"": ""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"", ""asic/rtl/secded/secded_pipelined_72_64_v1.sv"": ""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"": ""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"": ""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"", ""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"": ""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"", ""scripts/gate03r/rtl/secded_characterization_tops.sv"": ""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"", ""scripts/gate04/rtl/gate04_boundaries.sv"": ""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8"", ""scripts/revision2/rtl/rev2_hsiao_boundary.sv"": ""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",533f3f49bf102de4a296f3a6c9dc6de2957225b919490de485589f37259b21c8,2152bf969efc6bc07301cc60dab1de4b86c009509c27e3916d080f63262bb995,17ad5e9b25a75e38ca950ae6ad659bfbe64b1b1c1b66cd0d520ba2c45bb7d524,0b9f9f1b1b9ab597cf55fb092fcab987745884865156229d39a7769ac56b1f33,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,e0dfddfb389de2ba10c5db2e9bdb06a0d8badacc13b77a0762623ae76c1064db,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,23e9bb2d29731caf8d177f26d433b7f2c7dcfe5045c405d77cdbeab1f0f39884,8a2a9c339f221d9ad69ca6d66b69340cb1b4e27fc7128cff784641c042ee2d23,PASS
