campaign,run_id,architecture,implementation_id,code_id,protection_guarantee,rtl_sha256,rtl_sources_json,formal_status,formal_evidence,physical_target,technology,corner,voltage_v,temperature_c,seed,clock_period_ns,latency_cycles,initiation_interval_cycles,activity_class,useful_operations,trace_sha256,activity_power_status,routing_complete,target_feasible,characterization_status,hold_status,setup_violation_count,standard_cell_instance_area_um2,cell_count,sequential_cell_count,signed_worst_setup_slack_ns,slack_derived_frequency_mhz,detailed_route_wirelength_um,via_count,internal_power_w,switching_power_w,leakage_power_w,total_power_w,energy_per_useful_op_pj,final_odb_sha256,final_netlist_sha256,final_sdc_sha256,final_spef_sha256,power_report_sha256,raw_artifacts_manifest_sha256,raw_artifact_root,source_record
date2027_revision2,secded-comb-seed-11,secded_comb,secded-rtl-combinational-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,5e1a591f1a6602b8d985008e8f1d2d087d738b8bf636ebd7bd03915e0a0d49e4,"{""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,11,10.0,1,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,18644.1,2074,349,5.89964,243.8810250807246,44609.0,9134,0.006786616984755,0.007788169197738,7.300083204598e-09,0.01457479409873,145.76251578139872,c3c0b83b5f2d33489f9098637272c131d54f9188e3c66efa92870d949301a4e5,733d54854db80e3a501fb6f2db220814903cc5b41168c7761b153d183bfbadbb,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,cc07fe2b8a4ff8bdd00b582d09cdbe194135ecf07a1f2ca57cf35e6c8e53d0de,c84d002980bfac0627856e413e8fcfc06606fb77e52f49e5f7442c6ec6233e03,e22c8d5a5aeeb3b19846581341415f521171e588d8855f85cca1045440d13ab0,/var/lib/green-ecc-date2027-revision2/runs/secded-comb-seed-11,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,secded-pipe-seed-11,secded_pipe,secded-rtl-pipelined-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,4278fb0b46332d704204b3cd866959d0de48cc9a67f4046df1bb830eeb7f9a16,"{""asic/rtl/secded/secded_pipelined_72_64_v1.sv"":""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"",""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,11,10.0,3,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,25486.9,2660,633,7.18982,355.84909151726936,49992.0,10870,0.007129232399166,0.00394526636228,9.768537090338e-09,0.01107450760901,110.75615059770901,8603b1ce1e6242128d330e3653b8f41ab6737cce909588f4e9404003c003188b,97f40a2794c04002b6445de19763d55cc4311988c4abe96092410ae307eface7,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,136ae58d308eaf264fe4daeef0d780e6f56b0402327f3bf776c57eae3b140ecb,27dd386df80d519544dd3f365e3805dfc04eb0deb1237ec36b3039b1df2973b2,ab734e63ca36c8174b60610d57f7240add3c0280cafed0e5294daed44e5e9586,/var/lib/green-ecc-date2027-revision2/runs/secded-pipe-seed-11,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,hsiao-algorithmic-seed-11,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-secded-72-64-v1,all W1 corrected; all W2 detected,0f685e866f80c7a01bad7102ee4e121b1122587ba142df5aa47c15c69bb9f381,"{""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"":""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"",""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"":""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"",""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"":""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"",""scripts/revision2/rtl/rev2_hsiao_boundary.sv"":""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",PASS,docs/date2027/revision2/REV2_HSIAO_QUALIFICATION.json;docs/date2027/revision2/REV2_HSIAO_EXACT_IDENTITY.log,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,11,10.0,1,1,A0_clean_no_error,100000,0117c68c59ca87e85b4aa699eca26be1d20d83e26213030ee835cc4739542c99,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,19257.2,2177,349,5.28434,212.0593935949581,49903.0,9723,0.007042227312922,0.007960772141814,7.510577937353e-09,0.01500300690532,150.04507206010533,82a1f4d803204b12a782f83e7bd8c8708007467d0b307bd03c214dbd89f92399,d43d23b3b0d28be5ffc9745287eaf71ef8ea619ae436c024b34e96391fe1668b,1906b3694e2b02535b02751c084e52530b4c158398ac1e13635b871b4209b68c,1ae6d819f295d7327d58eb26df93d2641ccc9290d2568967d15f790f66fba328,d14136984d1ad6a61d156c153c3b15d7bfb398c1a9277c4677a029de7fb6cc1a,ff239b9970b93fcfe3d13bb1dea640f4757adc1200c75ebfb9c3ec37830e5e66,/var/lib/green-ecc-date2027-revision2/runs/hsiao-algorithmic-seed-11,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,bch78-seed-11,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,shortened-bch-78-64-t2-v1,all W0/W1/W2 corrected; W3 characterized without guarantee,a6d3d343b2f404f53bd34e51ca84abe66564bee075c784d8e18567de28c3dee6,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"":""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/EXACT_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/FORMAL_PROOF_INDEX.csv;docs/date2027/rigour_gate_03r/BCH_78_64_T2_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,11,10.0,1,1,A0_clean_no_error,100000,84186d94f6f2afa346e15013a6d351eb824892f474e62c8df7dff8f1091e2ff2,TRACE_AVAILABLE_POWER_NOT_RUN_TIMING_INELIGIBLE,True,False,PASS_TIMING_MISSED,HOLD_CLEAN,66,57303.7,7129,367,-4.78052,67.65661830571591,183332.0,36034,,,,,,032767f7bc00823717ce7d7d9ff647750be2bf920cc9065acc806b639519e9fb,432f7a6bdfb7d11a53f75a967df8b22260fe7f443635e2ba351b6aa6333ef31b,ed510f1702fda5e5e5394d4c42207b3cec29d817fcce243d42bede15c0790350,3de42271d426499c50ae8495746dc28243bdeddc3d9ced2ca1a3a74e2bd2bde6,,86a23c0de4a3863c276a209023d169ec4655e73646a974af222b5ba61ec0251e,/var/lib/green-ecc-date2027-revision2/runs/bch78-seed-11,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,secded-comb-seed-13,secded_comb,secded-rtl-combinational-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,5e1a591f1a6602b8d985008e8f1d2d087d738b8bf636ebd7bd03915e0a0d49e4,"{""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,13,10.0,1,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,18626.6,2076,349,5.56826,225.6450062503667,45257.0,9218,0.006703948136419,0.007899085991085,7.288157632956e-09,0.01460304111242,146.0450141653124,e8031339a83ebb9830d7f02362c3df11b15d916392ee60ffe64da34808fef42e,1f899de80aa9b1e44503647ae74dd7dd491009b3a6d228fc31ef74becc0f7f62,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,4efbf3ca52c175e7ed694251524c270280d09009758e3f7bd0060efef02159f8,29d1bbd3c61f9338421a8d27d0fee31f140ec57762169771407a690a3e62c9ec,e7248f87bfe42b22ef915401a7481b798df54f51cc1dcbcf03a45b99cc1aa4bc,/var/lib/green-ecc-date2027-revision2/runs/secded-comb-seed-13,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,secded-pipe-seed-13,secded_pipe,secded-rtl-pipelined-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,4278fb0b46332d704204b3cd866959d0de48cc9a67f4046df1bb830eeb7f9a16,"{""asic/rtl/secded/secded_pipelined_72_64_v1.sv"":""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"",""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,13,10.0,3,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,25569.5,2662,633,7.14712,350.5229802865876,50069.0,10930,0.00719641149044,0.003931290004402,9.801802924869e-09,0.01112771127373,111.28824044857373,f4ebbd4fd5c83b7c048bc6a33cec45ef9be3e63085a64d63c992fc7087046b84,9ae5240f82f598bc652f6cd8eb07763962839844019999ea85c075f65b0765fe,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,c01c19494b0e6c66996639b9f08ddd797a393c04ec62a914022d0289d6323fda,1dcc0b3ba6ed12f3e03109c9390e477030471a0e5f83ea695c7f709ecff21c7c,dfecdb728f9b36a377efdf231b530430f478b458478cce5468ae484fc6644999,/var/lib/green-ecc-date2027-revision2/runs/secded-pipe-seed-13,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,hsiao-algorithmic-seed-13,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-secded-72-64-v1,all W1 corrected; all W2 detected,0f685e866f80c7a01bad7102ee4e121b1122587ba142df5aa47c15c69bb9f381,"{""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv"":""638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036"",""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv"":""5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be"",""green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v2_algorithmic_decoder.sv"":""3c422dbbddab55e8e2ae141b571e60e63f4ecd87ac409d64b59cc184f21aadcf"",""scripts/revision2/rtl/rev2_hsiao_boundary.sv"":""3fdc3984b222b925ccc9d415a548e88f5e75a82539c67ac187e5c1d0c33f9c73""}",PASS,docs/date2027/revision2/REV2_HSIAO_QUALIFICATION.json;docs/date2027/revision2/REV2_HSIAO_EXACT_IDENTITY.log,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,13,10.0,1,1,A0_clean_no_error,100000,0117c68c59ca87e85b4aa699eca26be1d20d83e26213030ee835cc4739542c99,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,19179.6,2175,349,5.36057,215.54371981040774,50142.0,9611,0.006961538922042,0.007924395613372,7.45885042619e-09,0.01488594152033,148.87430114482032,0b280e340c0e286d8b59ff969da188fb3a82b64a26ecceef74495027566bb92f,8bfe0a2f51b96b318a9b9feaae9208378083b334e6a7db57dad170770eca7870,1906b3694e2b02535b02751c084e52530b4c158398ac1e13635b871b4209b68c,42226c7d8463e116be0b34713582bd5d7be37d374f8f277967bacbdcb23f8d21,b24278b8bb6c631f9979f31b8ca3661b29d63d7961458376edead620516c5c1c,bfe1074f0bd4be26999730c26a63fae142038a313e64b8f0e711c1475fda78a5,/var/lib/green-ecc-date2027-revision2/runs/hsiao-algorithmic-seed-13,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,bch78-seed-13,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,shortened-bch-78-64-t2-v1,all W0/W1/W2 corrected; W3 characterized without guarantee,a6d3d343b2f404f53bd34e51ca84abe66564bee075c784d8e18567de28c3dee6,"{""asic/rtl/bch/bch_78_64_t2_v1.sv"":""2cc8b0dd23f3cce9a091ea418a2c2d4fff5f016361228a66e6c151a7c49360e7"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/EXACT_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/FORMAL_PROOF_INDEX.csv;docs/date2027/rigour_gate_03r/BCH_78_64_T2_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,13,10.0,1,1,A0_clean_no_error,100000,84186d94f6f2afa346e15013a6d351eb824892f474e62c8df7dff8f1091e2ff2,TRACE_AVAILABLE_POWER_NOT_RUN_TIMING_INELIGIBLE,True,False,PASS_TIMING_MISSED,HOLD_CLEAN,66,57762.9,7168,367,-5.17499,65.89790174491054,191875.0,36095,,,,,,e1ca6f5b80090b26f9a2d611a5020012279988832954024c34ed09a1501ec84b,b2476bac53ed0213b27f34287aa0b02405124da47421f8da5cb7356f4a23e77a,ed510f1702fda5e5e5394d4c42207b3cec29d817fcce243d42bede15c0790350,d1ae775857578954096353bd62bed97e99e0830bbf5bb334e050ae7897d3ffe9,,ee56868b72041f1e401fc6fa7942d97d1dc4c8c81ec69c9af83c7e317ebf65b6,/var/lib/green-ecc-date2027-revision2/runs/bch78-seed-13,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,secded-comb-seed-17,secded_comb,secded-rtl-combinational-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,5e1a591f1a6602b8d985008e8f1d2d087d738b8bf636ebd7bd03915e0a0d49e4,"{""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,17,10.0,1,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,18728.0,2078,349,5.83,239.80815347721824,45233.0,9258,0.006813587620854,0.007834433577955,7.337091378901e-09,0.01464802864939,146.49493452254939,f5fc9bb2f572551a7a50eabaf9388af80fff8b6b3ca89bd8af3765f591fbdf5a,89155e6fed470ff5d8343050d1a69b347fecc58c2aa493c43ad9866ceb209bb8,fcaf7fb012daddb364cfab4792355ae8e50d1ecc2866d0b96e284bcd8e476537,c1480b4c634ba1384f4e9d31be82a2c4ba03c1686183577d715a4e90891c1130,08d717f1e77dbf17f6e7ab8fdc82ace34fdb3d7139530d480e541ff578793314,b903bdd4a1d058a6522f769df2c2ec80315315ff68457790d8d253cdfe6a07ae,/var/lib/green-ecc-date2027-revision2/runs/secded-comb-seed-17,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
date2027_revision2,secded-pipe-seed-17,secded_pipe,secded-rtl-pipelined-72-64-v1,extended-hamming-secded-72-64-v1,all W1 corrected; all W2 detected,4278fb0b46332d704204b3cd866959d0de48cc9a67f4046df1bb830eeb7f9a16,"{""asic/rtl/secded/secded_pipelined_72_64_v1.sv"":""e250a6741b6aa56e0bdc5892ac5753e4487769a6683f68db6ab9155c26a3b155"",""scripts/gate03r/rtl/secded_characterization_tops.sv"":""560bc8092ba759f7dd3412a106d86a30a7498d88285298c721be2d5ef4dc440b"",""scripts/gate04/rtl/gate04_boundaries.sv"":""7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8""}",PASS,docs/date2027/rigour_gate_03r/SECDED_PROOF_SUMMARY.json;docs/date2027/rigour_gate_03r/H2_ARCHITECTURE_CONTRACT.md,sky130hd_tt_025C_1v80_10ns,SKY130HD,tt_025C_1v80,1.8,25,17,10.0,3,1,A0_clean_no_error,100000,5777054292ef6b97af7f4924fb1f264fcbd030e598c32d7d12829b862e244998,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,True,True,PASS_TIMING_MET,HOLD_CLEAN,0,25627.1,2661,633,7.12398,347.7027280756045,50101.0,10923,0.007249136455357,0.003952791448683,9.837583192507e-09,0.01120193768293,112.03057876698293,e0f16e6591e29bd1c412bbeb22a7b4a60112fac8421a946933c3b34be2371357,aa93c1d1b6f5b599bda6d40bb3e9e35a7a1b80c484748619e1a4e68727aa4a92,ae02e4ff97ee4f1837c433b6cb7a7eac6482d314e6300424d043edba1f05e246,21d16a11f87fbd0e17d869c64f4a0e5d2e1998bb2aa19b14a16c503ed05500a8,68bf8e26a40c9e9c2a935778eb982d6c966d6c9abb178ca67ca7d9cf26f43bd8,5ba853e278a21de1817a422a7306329069e2dccc5a21704e83c26b3cdb9d65b8,/var/lib/green-ecc-date2027-revision2/runs/secded-pipe-seed-17,docs/date2027/revision2/results/REV2_RUN_RESULTS.csv
