record_id,design_id,architecture_id,technology_id,fault_environment_id,interleaving_id,workload_id,service_policy_id,fab_scenario_id,lifetime_scenario_id,observed_macro_area_um2,logical_control_sdc_fraction,logical_control_due_fraction,physical_sdc_probability,physical_due_probability,operational_energy_j,lifecycle_kgco2e,csci_kgco2e_per_correct_service,qualification_status,blocking_reasons
MP|U0|SBU_ALL_COORDINATES|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,SBU_ALL_COORDINATES,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|U0|DBU_ALL_PAIRS|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,DBU_ALL_PAIRS,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|U0|LOGICAL_CONSECUTIVE_3|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,LOGICAL_CONSECUTIVE_3,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|U0|LOGICAL_CONSECUTIVE_4|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,LOGICAL_CONSECUTIVE_4,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|E0|SBU_ALL_COORDINATES|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,SKY130,SBU_ALL_COORDINATES,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,260331.5664,0,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|E0|DBU_ALL_PAIRS|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,SKY130,DBU_ALL_PAIRS,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,260331.5664,0,1,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|E0|LOGICAL_CONSECUTIVE_3|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,SKY130,LOGICAL_CONSECUTIVE_3,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,260331.5664,0.65714285714285714,0.34285714285714286,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|E0|LOGICAL_CONSECUTIVE_4|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,SKY130,LOGICAL_CONSECUTIVE_4,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,260331.5664,0.086956521739130432,0.91304347826086951,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,PERSISTENT_SEQUENCE_1_2_0_4,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,SKY130,PERSISTENT_SEQUENCE_1_2_0_4,I0,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,FAB_SKY130_UNAVAILABLE,UNDECLARED,201266.5968,1,0,,,,,,BLOCKED,SKY130_MANUFACTURING_CARBON_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;PHYSICAL_SERVICE_PROBABILITY_NOT_QUALIFIED;LIFETIME_NOT_DECLARED
