record_id,design_id,architecture_id,ecc_family,payload_bits,codeword_bits,parity_bits,correction_capability_bits,detection_capability_bits,decoder_architecture,pipeline_stages,initiation_interval_cycles,technology_id,process_route_id,compiler_id,implementation_id,interleaving_id,physical_interleaver_implemented,workload_id,service_policy_id,fault_environment_id,clock_hz,voltage_v,temperature_c,observed_macro_area_um2,activity_coverage_fraction,diagnostic_tool_power_w,latency_s,throughput_services_per_s,logical_pattern_count,logical_success_normal_count,logical_success_corrected_count,logical_success_after_retry_count,logical_detected_failure_count,logical_sdc_count,logical_timeout_count,logical_control_success_fraction,logical_control_due_fraction,logical_control_sdc_fraction,logical_control_corrected_fraction,logical_control_retry_fraction,rate_semantics,source_record_id
MP|U0|SBU_ALL_COORDINATES|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,SBU_ALL_COORDINATES,,,,201266.5968,0.4868421052631579,0.001893166452646,,,64,0,0,0,0,64,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|SBU_ALL_COORDINATES|none
MP|U0|DBU_ALL_PAIRS|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,DBU_ALL_PAIRS,,,,201266.5968,0.4868421052631579,0.001893166452646,,,2016,0,0,0,0,2016,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|DBU_ALL_PAIRS|none
MP|U0|LOGICAL_CONSECUTIVE_3|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,LOGICAL_CONSECUTIVE_3,,,,201266.5968,0.4868421052631579,0.001893166452646,,,62,0,0,0,0,62,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|LOGICAL_CONSECUTIVE_3|none
MP|U0|LOGICAL_CONSECUTIVE_4|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,LOGICAL_CONSECUTIVE_4,,,,201266.5968,0.4868421052631579,0.001893166452646,,,61,0,0,0,0,61,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|LOGICAL_CONSECUTIVE_4|none
MP|E0|SBU_ALL_COORDINATES|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,HSIAO_SECDED,64,72,8,1,2,HSIAO_COMBINATIONAL,,,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_E0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,SBU_ALL_COORDINATES,,,,260331.5664,0.043451652386780906,0.005495859775692,,,72,0,72,0,0,0,0,1,0,0,1,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,E0|SBU_ALL_COORDINATES|none
MP|E0|DBU_ALL_PAIRS|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,HSIAO_SECDED,64,72,8,1,2,HSIAO_COMBINATIONAL,,,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_E0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,DBU_ALL_PAIRS,,,,260331.5664,0.043451652386780906,0.005495859775692,,,2556,0,0,0,2556,0,0,0,1,0,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,E0|DBU_ALL_PAIRS|none
MP|E0|LOGICAL_CONSECUTIVE_3|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,HSIAO_SECDED,64,72,8,1,2,HSIAO_COMBINATIONAL,,,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_E0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,LOGICAL_CONSECUTIVE_3,,,,260331.5664,0.043451652386780906,0.005495859775692,,,70,0,0,0,24,46,0,0,0.34285714285714286,0.65714285714285714,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,E0|LOGICAL_CONSECUTIVE_3|none
MP|E0|LOGICAL_CONSECUTIVE_4|none,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,E0,HSIAO_SECDED,64,72,8,1,2,HSIAO_COMBINATIONAL,,,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_E0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,LOGICAL_CONSECUTIVE_4,,,,260331.5664,0.043451652386780906,0.005495859775692,,,69,0,0,0,63,6,0,0,0.91304347826086951,0.086956521739130432,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,E0|LOGICAL_CONSECUTIVE_4|none
MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|none,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,PERSISTENT_SEQUENCE_1_2_0_4,,,,201266.5968,0.4868421052631579,0.001893166452646,,,4,0,0,0,0,4,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|PERSISTENT_SEQUENCE_1_2_0_4|none
MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,U0,UNPROTECTED,64,64,0,0,0,NONE,0,1,SKY130,SKY130_ROUTE_UNCHARACTERIZED,SRAM22_RESEARCH_MACROS,A10_U0_ORIGINAL_LIBERTY,I0,False,W0_READ_DOMINANT_SEED,P0_NO_SCRUB_NO_RETRY,PERSISTENT_SEQUENCE_1_2_0_4,,,,201266.5968,0.4868421052631579,0.001893166452646,,,4,0,0,0,0,4,0,0,0,1,0,0,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,U0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct
