calibration_id,source_id,model_version,publication_year,node,process_route,wafer_diameter_mm,metric,value,unit,value_precision,system_boundary,grid_assumption,gas_abatement_assumption,maturity,evidence_label,production_use,notes
IMEC23_N28_GRID_SENSITIVITY,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28,logic,300,grid_CI_sensitivity,1.64,kWh/cm2,EXACT_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,ALLOWED_WITH_BOUNDARY,This is sensitivity of total emissions to grid CI and not a raw wafer-energy coefficient
IMEC23_A14_GRID_SENSITIVITY,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,A14,logic,300,grid_CI_sensitivity,4.30,kWh/cm2,APPROXIMATE_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,ALLOWED_WITH_BOUNDARY,Projected advanced node and not measured foundry production
IMEC23_N28_SCOPE3_SHARE,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28,logic,300,incomplete_scope3_share,0.41,fraction,EXACT_AS_PRINTED,cradle_to_fab_gate_incomplete_scope3,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Scope 3 excludes capital goods upstream electricity and waste treatment
IMEC23_A14_SCOPE3_SHARE,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,A14,logic,300,incomplete_scope3_share,0.28,fraction,EXACT_AS_PRINTED,cradle_to_fab_gate_incomplete_scope3,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Projected node and incomplete Scope 3
IMEC23_ALL_SCOPE1_SHARE_LOW,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,scope1_share_lower,0.06,fraction,APPROXIMATE_RANGE_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Range applies across study nodes and is not assigned to a specific node
IMEC23_ALL_SCOPE1_SHARE_HIGH,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,scope1_share_upper,0.08,fraction,APPROXIMATE_RANGE_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Range applies across study nodes and is not assigned to a specific node
IMEC23_ALL_SCOPE2_SHARE_LOW,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,scope2_share_lower,0.52,fraction,APPROXIMATE_RANGE_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Range applies across study nodes and is not assigned to a specific node
IMEC23_ALL_SCOPE2_SHARE_HIGH,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,scope2_share_upper,0.65,fraction,APPROXIMATE_RANGE_AS_PRINTED,cradle_to_fab_gate,weighted_industry_average_0.454_kgCO2e_per_kWh,IPCC_2019_Tier_2c_combustion,CONSTANT_ACROSS_NODES_IN_STUDY,IMEC_CALIBRATED_ADVANCED_NODE,VALIDATION_ONLY,Range applies across study nodes and is not assigned to a specific node
IMEC23_DIE_DEFECT_DENSITY,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,Murphy_defect_density,0.15,defects/cm2,EXACT_AS_PRINTED,die_yield_sensitivity,,,CONSTANT_ACROSS_NODES_IN_STUDY,SOURCE_CALIBRATED,ALLOWED_ONLY_TO_REPRODUCE_STUDY,Do not treat one study-wide assumed D0 as a universal node yield
IMEC23_DIE_YIELD_100MM2,SRC_IMEC_IEDM_2023,imec.netzero_v1.5.67,2023,N28_to_A14,logic,300,Murphy_die_yield,0.86,fraction,EXACT_AS_PRINTED,10x10_mm2_functional_die,,,CONSTANT_ACROSS_NODES_IN_STUDY,SOURCE_CALIBRATED,ALLOWED_ONLY_TO_REPRODUCE_STUDY,Reported study assumption
