host_area_mm2,ecc_area_mm2,total_die_area_mm2,yield_model,defect_density_per_cm2,alpha,line_yield,gross_dies,die_yield,expected_good_dies,normalized_carbon_per_good_die,evidence_label
10,0.1,10.1,poisson,0.15,NA,0.9,6788.89894,0.984964184,6018.14007,0.000166164295,PARAMETRIC_SENSITIVITY
10,0.1,10.1,negative_binomial,0.15,3.0,0.9,6788.89894,0.985001737,6018.36952,0.00016615796,PARAMETRIC_SENSITIVITY
10,0.1,10.1,murphy,0.15,NA,0.9,6788.89894,0.984983023,6018.25518,0.000166161116,PARAMETRIC_SENSITIVITY
25,0.1,25.1,poisson,0.15,NA,0.9,2683.148,0.963049949,2325.60499,0.000429995637,PARAMETRIC_SENSITIVITY
25,0.1,25.1,negative_binomial,0.15,3.0,0.9,2683.148,0.963275614,2326.14993,0.000429894903,PARAMETRIC_SENSITIVITY
25,0.1,25.1,murphy,0.15,NA,0.9,2683.148,0.963163717,2325.87972,0.000429944847,PARAMETRIC_SENSITIVITY
50,0.1,50.1,poisson,0.15,NA,0.9,1316.74123,0.927604335,1099.27339,0.000909691813,PARAMETRIC_SENSITIVITY
50,0.1,50.1,negative_binomial,0.15,3.0,0.9,1316.74123,0.928463532,1100.29159,0.000908849987,PARAMETRIC_SENSITIVITY
50,0.1,50.1,murphy,0.15,NA,0.9,1316.74123,0.928040973,1099.79083,0.000909263808,PARAMETRIC_SENSITIVITY
100,0.1,100.1,poisson,0.15,NA,0.9,639.542247,0.86057888,495.338896,0.00201881986,PARAMETRIC_SENSITIVITY
100,0.1,100.1,negative_binomial,0.15,3.0,0.9,639.542247,0.863714205,497.143551,0.00201149144,PARAMETRIC_SENSITIVITY
100,0.1,100.1,murphy,0.15,NA,0.9,639.542247,0.86219691,496.270214,0.00201503127,PARAMETRIC_SENSITIVITY
250,0.1,250.1,poisson,0.15,NA,0.9,240.489826,0.687186193,148.735159,0.00672335988,PARAMETRIC_SENSITIVITY
250,0.1,250.1,negative_binomial,0.15,3.0,0.9,240.489826,0.702238326,151.993055,0.00657924797,PARAMETRIC_SENSITIVITY
250,0.1,250.1,murphy,0.15,NA,0.9,240.489826,0.695283504,150.487748,0.00664505925,PARAMETRIC_SENSITIVITY
