path,item_type,size_bytes,file_count,sha256,hash_scope,unreadable_file_count,git_status,first_known_use,last_known_use,imports_references,cli_references,makefile_references,test_references,documentation_references,generated_by,duplicate_group,classification,reason,deletion_safety,regeneration_method,provenance_importance
tests/fixtures/runtime_ml_feature_pack/core_pack_01818cc26d70440b966939fdad4daba8,directory,3221,3,dd41366beccf0145c7d27872cf4fe9e0029d248f1f6d7eab9500b1212394e8e2,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_064afd8a8a4e41408a88c49f3496b03f,directory,3221,3,457e5c71cbcc8ce4d88636693a1a71c452adea36c4786b8138527bb87ad60f78,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_0768179b019b4aea8632d081c2010c1a,directory,3221,3,f5758011a6cf00dd8564c136416850dee2729fea72af1d1d79e806c413f9b62f,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_0794e26bbefc4518abc214d6595c7d88,directory,3221,3,a12dbf47e5506e50cfc7bb8bc14faeb5e42faf7772c6f21a962dff7c37c216e7,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_148878206b7c4970b588f39ad0a6044e,directory,3221,3,bce233ee036890b4fc9d9022d901d3e3b64dcc95648b42fcbca81e31845dc791,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_1a913c7f00c54d849c1f214711a5c5ae,directory,3221,3,f946b4d4c814b2c8f10313bee28dd127bee96e8a41ba9a207bf8f40daa62da9d,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_21f5188f926746c9a356dd0f0f23895a,directory,3221,3,d7d2d4ab8974509ab90b70ad5a5075ebec631a0ce0a848ba92661276ed9314ea,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_33471ace79ce40c1b1da5d2398db1691,directory,3221,3,1446bafa6cb45f9342dc0c5b976cd783c7367485df9a44b6b8b5ecc4925b888b,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_37aab1dc3126405da80126432227590a,directory,3221,3,31e92a50cb6a9337e665377701089dfad817d030baed1c2ceddd351f88c8a4e2,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
tests/fixtures/runtime_ml_feature_pack/core_pack_3ca0f2b688fa4a7095b3aef999ddadfa,directory,3221,3,670fd9849f1f643ac8ff857db2a49b2616dd24e64f6d708228bc035a94fd84ec,CONTENT_AND_PATHS,0,TRACKED_OR_MIXED,NOT_DETERMINABLE,Current checkout inspection,Rule-based discovery plus repository-wide rg/manual inspection.,Retained; no absence-of-reference inference used.,No deletion decision based solely on Makefile absence.,Generated by test_ml_feature_pack::_new_base.,Repository documentation search considered.,NOT_ASSERTED,379a12b4482e955bbba2cf82be5c03a62ae018018a7c3cba81b2a3287e570855;50fdf6ba6b970b42b7c5d4b6da57d8c0e3f5b65c8d463865d99e430fd2431f8b,KEEP_SOURCE_OF_RECORD,Tracked content is retained even when its name resembles a generated cache or runtime fixture.,NEVER_DELETE,Tracked repository content; restoration/reclassification requires a separate reviewed change.,Tracked content is retained even when its name resembles a generated cache or runtime fixture.
