architecture_id,workload_id,component_class,count_partition,required_for_power,annotated_pin_count,total_pin_count,coverage_fraction,mapping_status,evidence_class,missing_activity_class,source_id
U0,read_dominant,external_top_ports,true,true,148,148,1.000000,MAPPED,DERIVED,,A10_U0_ANNOTATED_LIST
U0,read_dominant,data_sram_macro_boundary,true,true,148,148,1.000000,MAPPED,DERIVED,macro_internal_transistor_activity,A10_U0_ANNOTATED_LIST
U0,read_dominant,io_fix_and_hold_standard_cells,true,true,0,310,0.000000,UNANNOTATED,DERIVED,cell_input_and_output_switching,A10_U0_UNANNOTATED_LIST
U0,read_dominant,inserted_wire_buffer_cell,true,true,0,2,0.000000,UNANNOTATED,DERIVED,cell_input_and_output_switching,A10_U0_UNANNOTATED_LIST
U0,read_dominant,macro_internal_power_arcs,false,false,,,,NOT_STRUCTURALLY_VCD_OBSERVABLE,NOT_MEASURED,internal_transistor_switching,A10_ACTIVITY_MODEL
E0,read_dominant,external_top_ports,true,true,142,142,1.000000,MAPPED,DERIVED,,A10_E0_ANNOTATED_LIST
E0,read_dominant,data_sram_macro_boundary,true,true,0,148,0.000000,UNANNOTATED,DERIVED,read_write_macro_pin_activity,A10_E0_UNANNOTATED_LIST
E0,read_dominant,ecc_sram_macro_boundary,true,true,0,36,0.000000,UNANNOTATED,DERIVED,read_write_macro_pin_activity,A10_E0_UNANNOTATED_LIST
E0,read_dominant,antenna_diode_pins,true,false,0,29,0.000000,UNANNOTATED,DERIVED,diode_pin_switching,A10_E0_UNANNOTATED_LIST
E0,read_dominant,io_fix_and_hold_standard_cells,true,true,0,320,0.000000,UNANNOTATED,DERIVED,cell_input_and_output_switching,A10_E0_UNANNOTATED_LIST
E0,read_dominant,flattened_synthesized_logic,true,true,0,2593,0.000000,UNANNOTATED_NOT_ATTRIBUTABLE,DERIVED,glitch_and_internal_logic_switching,A10_E0_UNANNOTATED_LIST
E0,read_dominant,ecc_encoder_logic,false,true,,,,NOT_SEPARABLE_AFTER_FLATTENING,NOT_MEASURED,encoder_component_attribution,A10_E0_FINAL_NETLIST
E0,read_dominant,ecc_decoder_logic,false,true,,,,NOT_SEPARABLE_AFTER_FLATTENING,NOT_MEASURED,decoder_component_attribution,A10_E0_FINAL_NETLIST
E0,read_dominant,clock_network,false,true,,,,NOT_SEPARABLE_AFTER_FLATTENING,NOT_MEASURED,clock_and_sequential_pin_activity,A10_E0_FINAL_NETLIST
E0,read_dominant,control_and_interconnect_logic,false,true,,,,NOT_SEPARABLE_AFTER_FLATTENING,NOT_MEASURED,component_attribution,A10_E0_FINAL_NETLIST
E0,read_dominant,macro_internal_power_arcs,false,false,,,,NOT_STRUCTURALLY_VCD_OBSERVABLE,NOT_MEASURED,internal_transistor_switching,A10_ACTIVITY_MODEL
