row_id,architecture_id,ecc_family,workload_id,functional_control_id,metric_version,functional_unit,service_success_probability,service_success_probability_evidence,useful_service_bits,useful_service_bits_evidence,GSE,GSE_evidence,GCI,GCI_evidence,GSE_relative,GSE_relative_evidence,technology_node,process_route,wafer_diameter,wafer_diameter_evidence,fab_grid,fab_CI,fab_CI_evidence,process_maturity,wafer_carbon,wafer_carbon_evidence,wafer_energy,wafer_energy_evidence,scope1_carbon,scope1_carbon_evidence,scope2_carbon,scope2_carbon_evidence,upstream_carbon,upstream_carbon_evidence,patterning_carbon,patterning_carbon_evidence,lithography_route,mask_layer_count,mask_layer_count_evidence,multi_patterning_count,multi_patterning_count_evidence,maskset_NRE,maskset_NRE_evidence,yield,yield_evidence,yield_model,defect_density,defect_density_evidence,gross_dies_per_wafer,gross_dies_per_wafer_evidence,good_dies_per_wafer,good_dies_per_wafer_evidence,die_embodied_carbon,die_embodied_carbon_evidence,incremental_ECC_embodied_carbon,incremental_ECC_embodied_carbon_evidence,operational_energy,operational_energy_evidence,operational_carbon,operational_carbon_evidence,lifecycle_carbon,lifecycle_carbon_evidence,interleaving_id,fault_topology_id,scrub_policy,SDC,SDC_evidence,DUE,DUE_evidence,corrected,corrected_evidence,retry,retry_evidence,service_success,service_success_evidence,latency_ns,latency_ns_evidence,observed_macro_area_um2,observed_macro_area_um2_evidence,activity_coverage_fraction,activity_coverage_fraction_evidence,diagnostic_tool_power_w,diagnostic_tool_power_w_evidence,logical_pattern_count,logical_pattern_count_evidence,logical_success_normal_count,logical_success_normal_count_evidence,logical_success_corrected_count,logical_success_corrected_count_evidence,logical_success_after_retry_count,logical_success_after_retry_count_evidence,logical_detected_failure_count,logical_detected_failure_count_evidence,logical_sdc_count,logical_sdc_count_evidence,logical_timeout_count,logical_timeout_count_evidence,logical_control_success_fraction,logical_control_success_fraction_evidence,logical_control_due_fraction,logical_control_due_fraction_evidence,logical_control_sdc_fraction,logical_control_sdc_fraction_evidence,logical_control_corrected_fraction,logical_control_corrected_fraction_evidence,logical_control_retry_fraction,logical_control_retry_fraction_evidence,rate_semantics,evidence_tier,uncertainty_class,qualification_status,blocking_reasons,source_ids
U0|SBU_ALL_COORDINATES|none,U0,NONE_UNPROTECTED,read_dominant,SBU_ALL_COORDINATES,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,64,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,64,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
U0|DBU_ALL_PAIRS|none,U0,NONE_UNPROTECTED,read_dominant,DBU_ALL_PAIRS,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,2016,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,2016,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
U0|LOGICAL_CONSECUTIVE_3|none,U0,NONE_UNPROTECTED,read_dominant,LOGICAL_CONSECUTIVE_3,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,62,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,62,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
U0|LOGICAL_CONSECUTIVE_4|none,U0,NONE_UNPROTECTED,read_dominant,LOGICAL_CONSECUTIVE_4,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,61,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,61,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
E0|SBU_ALL_COORDINATES|none,E0,HSIAO_SECDED_72_64,read_dominant,SBU_ALL_COORDINATES,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,260331.5664,TOOL_ESTIMATE,0.043451652386780906,DERIVED,0.005495859775692,TOOL_ESTIMATE,72,DERIVED,0,DERIVED,72,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_E0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
E0|DBU_ALL_PAIRS|none,E0,HSIAO_SECDED_72_64,read_dominant,DBU_ALL_PAIRS,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,260331.5664,TOOL_ESTIMATE,0.043451652386780906,DERIVED,0.005495859775692,TOOL_ESTIMATE,2556,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,2556,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_E0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
E0|LOGICAL_CONSECUTIVE_3|none,E0,HSIAO_SECDED_72_64,read_dominant,LOGICAL_CONSECUTIVE_3,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,260331.5664,TOOL_ESTIMATE,0.043451652386780906,DERIVED,0.005495859775692,TOOL_ESTIMATE,70,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,24,DERIVED,46,DERIVED,0,DERIVED,0,DERIVED,0.34285714285714286,DERIVED,0.65714285714285714,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_E0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
E0|LOGICAL_CONSECUTIVE_4|none,E0,HSIAO_SECDED_72_64,read_dominant,LOGICAL_CONSECUTIVE_4,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,260331.5664,TOOL_ESTIMATE,0.043451652386780906,DERIVED,0.005495859775692,TOOL_ESTIMATE,69,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,63,DERIVED,6,DERIVED,0,DERIVED,0,DERIVED,0.91304347826086951,DERIVED,0.086956521739130432,DERIVED,0,DERIVED,0,DERIVED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_E0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
U0|PERSISTENT_SEQUENCE_1_2_0_4|none,U0,NONE_UNPROTECTED,read_dominant,PERSISTENT_SEQUENCE_1_2_0_4,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,none,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,4,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,4,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,FINITE_FUNCTIONAL_SEQUENCE_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
U0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,U0,NONE_UNPROTECTED,read_dominant,PERSISTENT_SEQUENCE_1_2_0_4,GSE_GCI_V1,correct_payload_bit_memory_service,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,SKY130,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,NOT_CALIBRATED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_MEASURED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,NOT_CALIBRATED_FOR_SKY130,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,LOGICAL_ONLY,NOT_MAPPED,scrub_on_correct,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,,NOT_QUALIFIED,201266.5968,TOOL_ESTIMATE,0.4868421052631579,DERIVED,0.001893166452646,TOOL_ESTIMATE,4,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,4,DERIVED,0,DERIVED,0,DERIVED,0,DERIVED,1,DERIVED,0,DERIVED,0,DERIVED,FINITE_FUNCTIONAL_SEQUENCE_NOT_EVENT_RATE,LOWEST_ACTIVE_TIER_T5,UNQUALIFIED_MIXED_INPUTS,UNQUALIFIED,PHYSICAL_EVENT_RATES_NOT_QUALIFIED;OPERATIONAL_ENERGY_NOT_QUALIFIED;SKY130_WAFER_CARBON_NOT_QUALIFIED;LATENCY_NOT_MEASURED_FOR_SERVICE_POLICY,A10_LOGICAL_CONTROLS;A10_POSTROUTE_ACTIVITY_DIAGNOSTIC;A10_U0_ORIGINAL_LIBERTY;A10_INTERLEAVING_COST;SRC_SKYWATER_SKY130_PDK
