architecture_id,clock_period_ns,operation_class,count,mean_energy_j,median_energy_j,sample_standard_deviation_j,minimum_energy_j,maximum_energy_j,descriptive_95_percent_ci_low_j,descriptive_95_percent_ci_high_j,coefficient_of_variation,qualification
SECDED,10.0,IDLE,4,3.3506491772069926e-12,3.3436695360932753e-12,2.6881899057365915e-14,3.328902598240553e-12,3.386355038400867e-12,3.3078800758067235e-12,3.3934182786072617e-12,0.008022892769625591,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
SECDED,10.0,WRITE_CLEAN,4,1.1262167222639018e-11,1.1252307651602946e-11,5.5044883721537044e-14,1.1208596420825623e-11,1.1335457166524556e-11,1.1174590812638052e-11,1.1349743632639984e-11,0.0048875924707357165,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
SECDED,10.0,READ_CLEAN,5,1.255931304840875e-11,1.2513344574475115e-11,1.0917619438566197e-13,1.246810887187851e-11,1.2713938979688324e-11,1.2423774630675371e-11,1.269485146614213e-11,0.008692847607576312,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
SECDED,10.0,READ_SINGLE_BIT_ERROR_CORRECT,5,1.3438341904658938e-11,1.3471733078403082e-11,1.0324767980157254e-13,1.3310460496539428e-11,1.3570862179228099e-11,1.3310163529934553e-11,1.3566520279383324e-11,0.007683066894270461,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
SECDED,10.0,READ_DOUBLE_BIT_ERROR_DETECT,5,1.3435878991737243e-11,1.3458090860702618e-11,1.0445957887514391e-13,1.3317473765717977e-11,1.357586067661373e-11,1.3306196086800858e-11,1.3565561896673627e-11,0.007774673985928584,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
HSIAO_SECDED,10.0,IDLE,4,3.369757191250966e-12,3.366304856512788e-12,2.105423836539006e-14,3.349399698435929e-12,3.3970193535423594e-12,3.3362598980116304e-12,3.4032544844903016e-12,0.006247998645140965,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
HSIAO_SECDED,10.0,WRITE_CLEAN,4,1.138284914077338e-11,1.1387463899837259e-11,3.015426899477221e-14,1.1348048907852916e-11,1.1408419855566087e-11,1.1334873698802698e-11,1.1430824582744063e-11,0.002649096779009359,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
HSIAO_SECDED,10.0,READ_CLEAN,5,1.2528475161166697e-11,1.2500876281599979e-11,1.7506152579660864e-13,1.2379137481729889e-11,1.2802318748985291e-11,1.2311142414353354e-11,1.274580790798004e-11,0.013973091181856665,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
HSIAO_SECDED,10.0,READ_SINGLE_BIT_ERROR_CORRECT,5,1.3747841595800326e-11,1.3726935951129579e-11,1.5588091583875347e-13,1.3605453365023915e-11,1.3993086138731171e-11,1.3554320903798724e-11,1.3941362287801927e-11,0.011338573750105748,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
HSIAO_SECDED,10.0,READ_DOUBLE_BIT_ERROR_DETECT,5,1.3629384195340379e-11,1.3605674640535911e-11,1.6259876375929247e-13,1.3487408701622426e-11,1.3884982568923072e-11,1.3427523530665735e-11,1.3831244860015023e-11,0.01193001543054908,E5_LOGIC_ACTIVITY_QUALIFIED_MACRO_ENERGY_INCOMPLETE
