rule,attempt02_256x72_occurrences,control_16x8_occurrences,attempt02_to_control_ratio,category
li.3,95046,900,105.607,local-interconnect spacing
diff/tap.1,4757,47,101.213,diffusion/tap spacing
li.1,28611,289,99.000,local-interconnect width
met2.2,13,0,NA,metal2 spacing
met1.2,8,8,1.000,metal1 spacing
"Can't overlap",330,27,12.222,illegal overlap
li.c1,52489,535,98.110,local-interconnect contact enclosure
li.5,28618,291,98.344,local-interconnect spacing
poly.5,52341,495,105.739,poly spacing
via.1a+2*via.4a,114075,1080,105.625,via enclosure/spacing
nwell.7,3,2,1.500,nwell enclosure/spacing
poly.4,9490,90,105.444,poly spacing
li.c2,113880,1080,105.444,local-interconnect contact enclosure
via.5a-via.4a,56940,540,105.444,via enclosure/spacing
licon.1,33486,352,95.131,local-interconnect contact
licon.5a,28547,281,101.591,local-interconnect contact enclosure
mcon.1,23725,225,105.444,metal contact
li.6,94900,900,105.444,local-interconnect spacing

