run_id,architecture,implementation_id,seed,design_top,latency_cycles,initiation_interval_cycles,physical_exit_status,physical_failure_reason,routing_complete,power_status,characterization_status,timing_feasibility,hold_status,standard_cell_instance_area_um2,cell_count,sequential_cell_count,clock_buffer_count,timing_repair_buffer_count,buffer_count,utilization_percent,signed_worst_setup_slack_ns,wns_ns,tns_ns,setup_violation_count,worst_hold_slack_ns,hold_violation_count,slack_derived_frequency_mhz,orfs_reported_fmax_mhz,frequency_consistency_abs_error_mhz,global_route_wirelength_um,detailed_route_wirelength_um,via_count,routed_signal_net_count,congestion_violation_count,final_drc_count,final_flow_error_count,internal_power_w,switching_power_w,leakage_power_w,total_power_w,no_error_energy_pj_per_operation_estimate,achievable_no_error_energy_pj_per_operation,direct_vcd_annotated_pin_count,unannotated_pin_count_before_propagation
secded-comb-seed-11,secded_comb,secded-rtl-combinational-72-64-v1,11,gate04_secded_comb_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,18644.1,2074,349,56,359,415,49.4984,5.89964,0.0,0.0,0,0.447184,0,243.8810250807246,243.881,2.5080724611825644e-05,65287.0,44609.0,9134,1673,0,0,0,0.006786616984755,0.007788169197738,7.300083204598e-09,0.01457479409873,145.76251578139872,145.76251578139872,139,4705
secded-pipe-seed-11,secded_pipe,secded-rtl-pipelined-72-64-v1,11,gate04_secded_pipe_72_64,3,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,25486.9,2660,633,99,353,452,47.267700000000005,7.18982,0.0,0.0,0,0.325726,0,355.84909151726936,355.849,9.151726936806881e-05,73029.0,49992.0,10870,2054,0,0,0,0.007129232399166,0.00394526636228,9.768537090338e-09,0.01107450760901,110.75615059770901,110.75615059770901,139,5672
hsiao-algorithmic-seed-11,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,11,gate04_rev2_hsiao_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,19257.2,2177,349,51,356,407,49.4824,5.28434,0.0,0.0,0,0.425395,0,212.0593935949581,212.059,0.0003935949580977649,71249.0,49903.0,9723,1768,0,0,0,0.007042227312922,0.007960772141814,7.510577937353e-09,0.01500300690532,150.04507206010533,150.04507206010533,139,4937
bch78-seed-11,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,11,gate04_bch_78_64,1,1,0,,True,NOT_REQUIRED_BY_PROTOCOL,PASS_TIMING_MISSED,FAILS_10NS,HOLD_CLEAN,57303.7,7129,367,54,1789,1843,54.359500000000004,-4.78052,-4.78052,-309.445,66,0.437918,0,67.65661830571591,67.6566,1.8305715911992593e-05,265663.0,183332.0,36034,5846,0,0,0,,,,,,,,
secded-comb-seed-13,secded_comb,secded-rtl-combinational-72-64-v1,13,gate04_secded_comb_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,18626.6,2076,349,59,358,417,49.4519,5.56826,0.0,0.0,0,0.441252,0,225.6450062503667,225.645,6.250366681115338e-06,66295.0,45257.0,9218,1674,0,0,0,0.006703948136419,0.007899085991085,7.288157632956e-09,0.01460304111242,146.0450141653124,146.0450141653124,139,4709
secded-pipe-seed-13,secded_pipe,secded-rtl-pipelined-72-64-v1,13,gate04_secded_pipe_72_64,3,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,25569.5,2662,633,97,353,450,47.4208,7.14712,0.0,0.0,0,0.325225,0,350.5229802865876,350.524,0.001019713412404144,72808.0,50069.0,10930,2052,0,0,0,0.00719641149044,0.003931290004402,9.801802924869e-09,0.01112771127373,111.28824044857373,111.28824044857373,139,5675
hsiao-algorithmic-seed-13,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,13,gate04_rev2_hsiao_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,19179.6,2175,349,55,354,409,49.283100000000005,5.36057,0.0,0.0,0,0.446892,0,215.54371981040774,215.544,0.00028018959227438245,71242.0,50142.0,9611,1766,0,0,0,0.006961538922042,0.007924395613372,7.45885042619e-09,0.01488594152033,148.87430114482032,148.87430114482032,139,4931
bch78-seed-13,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,13,gate04_bch_78_64,1,1,0,,True,NOT_REQUIRED_BY_PROTOCOL,PASS_TIMING_MISSED,FAILS_10NS,HOLD_CLEAN,57762.9,7168,367,50,1829,1879,54.7951,-5.17499,-5.17499,-336.395,66,0.438848,0,65.89790174491054,65.8979,1.744910534284827e-06,274192.0,191875.0,36095,5887,0,0,0,,,,,,,,
secded-comb-seed-17,secded_comb,secded-rtl-combinational-72-64-v1,17,gate04_secded_comb_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,18728.0,2078,349,55,359,414,49.721,5.83,0.0,0.0,0,0.436706,0,239.80815347721824,239.808,0.00015347721824809923,65584.0,45233.0,9258,1674,0,0,0,0.006813587620854,0.007834433577955,7.337091378901e-09,0.01464802864939,146.49493452254939,146.49493452254939,139,4713
secded-pipe-seed-17,secded_pipe,secded-rtl-pipelined-72-64-v1,17,gate04_secded_pipe_72_64,3,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,25627.1,2661,633,96,353,449,47.5276,7.12398,0.0,0.0,0,0.326286,0,347.7027280756045,347.703,0.00027192439546297464,72974.0,50101.0,10923,2052,0,0,0,0.007249136455357,0.003952791448683,9.837583192507e-09,0.01120193768293,112.03057876698293,112.03057876698293,139,5674
hsiao-algorithmic-seed-17,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,17,gate04_rev2_hsiao_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,19135.9,2173,349,54,355,409,49.1705,5.1695,0.0,0.0,0,0.431236,0,207.01790704895976,207.018,9.295104024431566e-05,70932.0,49599.0,9759,1767,0,0,0,0.006907750386745,0.007997064851224,7.448124783593e-09,0.01490482315421,149.06313636525422,149.06313636525422,139,4929
bch78-seed-17,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,17,gate04_bch_78_64,1,1,0,,True,NOT_REQUIRED_BY_PROTOCOL,PASS_TIMING_MISSED,FAILS_10NS,HOLD_CLEAN,57036.0,7095,367,47,1766,1813,54.10549999999999,-4.77921,-4.77921,-310.82,66,0.436702,0,67.66261525480726,67.6626,1.5254807266273929e-05,265436.0,183231.0,35984,5824,0,0,0,,,,,,,,
secded-comb-seed-19,secded_comb,secded-rtl-combinational-72-64-v1,19,gate04_secded_comb_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,18655.4,2074,349,55,358,413,49.528299999999994,5.91939,0.0,0.0,0,0.438047,0,245.06140013380352,245.061,0.0004001338035095614,65701.0,44822.0,9042,1674,0,0,0,0.006754889618605,0.007814452052116,7.305763105592e-09,0.01456934958696,145.70806521918695,145.70806521918695,139,4705
secded-pipe-seed-19,secded_pipe,secded-rtl-pipelined-72-64-v1,19,gate04_secded_pipe_72_64,3,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,25639.6,2661,633,98,353,451,47.550799999999995,7.12868,0.0,0.0,0,0.324849,0,348.27187495646604,348.271,0.0008749564660206488,72436.0,49956.0,10884,2053,0,0,0,0.007258250378072,0.003925839904696,9.836550241005e-09,0.01118410099298,111.85219403079297,111.85219403079297,139,5674
hsiao-algorithmic-seed-19,hsiao_algorithmic,hsiao-algorithmic-combinational-72-64-rev2-v1,19,gate04_rev2_hsiao_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,19228.4,2177,349,54,356,410,49.4084,5.33407,0.0,0.0,0,0.413024,0,214.31954615692905,214.32,0.00045384307094309406,71442.0,49617.0,9734,1768,0,0,0,0.007025962695479,0.008049633353949,7.482571895423e-09,0.01507560350001,150.77111060360002,150.77111060360002,139,4937
bch78-seed-19,bch78,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,19,gate04_bch_78_64,1,1,0,,True,NOT_REQUIRED_BY_PROTOCOL,PASS_TIMING_MISSED,FAILS_10NS,HOLD_CLEAN,57103.5,7129,367,49,1798,1847,54.169599999999996,-5.1463,-5.1463,-334.126,66,0.434053,0,66.02272502195255,66.0227,2.5021952552606308e-05,259433.0,179964.0,36370,5852,0,0,0,,,,,,,,
secded-comb-seed-23,secded_comb,secded-rtl-combinational-72-64-v1,23,gate04_secded_comb_72_64,1,1,0,,True,ACTIVITY_POWER_PASS_FULL_PRECISION_TEXT,PASS_TIMING_MET,MEETS_10NS,HOLD_CLEAN,18594.1,2074,349,56,358,414,49.365500000000004,5.83403,0.0,0.0,0,0.433125,0,240.0401347105236,240.04,0.0001347105236106927,65446.0,44664.0,9158,1673,0,0,0,0.006707548629493,0.007774383760989,7.270191115794e-09,0.0144819393754,144.8338756933754,144.8338756933754,139,4705
