architecture,seed,area_um2,slack_derived_frequency_mhz,signed_setup_slack_ns,detailed_wirelength_um,total_power_w,achievable_energy_pj_per_operation,timing_feasibility
secded_comb,11,18644.1,243.8810250807246,5.89964,44609.0,0.01457479409873,145.76251578139872,MEETS_10NS
secded_pipe,11,25486.9,355.84909151726936,7.18982,49992.0,0.01107450760901,110.75615059770901,MEETS_10NS
hsiao_algorithmic,11,19257.2,212.0593935949581,5.28434,49903.0,0.01500300690532,150.04507206010533,MEETS_10NS
bch78,11,57303.7,67.65661830571591,-4.78052,183332.0,,,FAILS_10NS
secded_comb,13,18626.6,225.6450062503667,5.56826,45257.0,0.01460304111242,146.0450141653124,MEETS_10NS
secded_pipe,13,25569.5,350.5229802865876,7.14712,50069.0,0.01112771127373,111.28824044857373,MEETS_10NS
hsiao_algorithmic,13,19179.6,215.54371981040774,5.36057,50142.0,0.01488594152033,148.87430114482032,MEETS_10NS
bch78,13,57762.9,65.89790174491054,-5.17499,191875.0,,,FAILS_10NS
secded_comb,17,18728.0,239.80815347721824,5.83,45233.0,0.01464802864939,146.49493452254939,MEETS_10NS
secded_pipe,17,25627.1,347.7027280756045,7.12398,50101.0,0.01120193768293,112.03057876698293,MEETS_10NS
hsiao_algorithmic,17,19135.9,207.01790704895976,5.1695,49599.0,0.01490482315421,149.06313636525422,MEETS_10NS
bch78,17,57036.0,67.66261525480726,-4.77921,183231.0,,,FAILS_10NS
secded_comb,19,18655.4,245.06140013380352,5.91939,44822.0,0.01456934958696,145.70806521918695,MEETS_10NS
secded_pipe,19,25639.6,348.27187495646604,7.12868,49956.0,0.01118410099298,111.85219403079297,MEETS_10NS
hsiao_algorithmic,19,19228.4,214.31954615692905,5.33407,49617.0,0.01507560350001,150.77111060360002,MEETS_10NS
bch78,19,57103.5,66.02272502195255,-5.1463,179964.0,,,FAILS_10NS
secded_comb,23,18594.1,240.0401347105236,5.83403,44664.0,0.0144819393754,144.8338756933754,MEETS_10NS
secded_pipe,23,25614.6,347.5420091403549,7.12265,49703.0,0.01122075971216,112.21881788131216,MEETS_10NS
hsiao_algorithmic,23,19152.1,215.61947475095948,5.3622,49791.0,0.01490762270987,149.09113472140987,MEETS_10NS
bch78,23,56992.2,65.94079044544323,-5.16512,186774.0,,,FAILS_10NS
