implementation_id,universe_id,universe_definition,total_masks,clean,corrected,due,sdc_miscorrection,sdc_undetected,invalid_state,correction_fraction,detection_fraction,sdc_fraction,exhaustive,translation_invariance_basis,smallest_failure_witness,declared_capability,proven_capability,gate_status,evidence_path
cyclic-rtl-bounded-search-63-51-v1,cyclic-rtl-bounded-search-63-51-v1:weight-0,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""clean"",""kind"":""all_combinations"",""total_masks"":1,""universe_id"":""cyclic-rtl-bounded-search-63-51-v1:weight-0"",""weight"":0}",1,1,0,0,0,0,0,0/1,0/1,0/1,true,baseline/translation_invariance.json,,clean,clean,PASS,baseline/implementation_aggregates/cyclic-rtl-bounded-search-63-51-v1.json
cyclic-rtl-bounded-search-63-51-v1,cyclic-rtl-bounded-search-63-51-v1:weight-1,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""correction"",""kind"":""all_combinations"",""total_masks"":63,""universe_id"":""cyclic-rtl-bounded-search-63-51-v1:weight-1"",""weight"":1}",63,0,30,0,33,0,0,10/21,10/21,11/21,true,baseline/translation_invariance.json,"{""error_mask"": 1073741824, ""error_positions"": [30], ""observed_outcome"": ""SDC_MISCORRECTION""}",correction,characterized_with_sdc_or_invalid_state,FAIL,baseline/implementation_aggregates/cyclic-rtl-bounded-search-63-51-v1.json
cyclic-rtl-bounded-search-63-51-v1,cyclic-rtl-bounded-search-63-51-v1:weight-2,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""observation"",""kind"":""all_combinations"",""total_masks"":1953,""universe_id"":""cyclic-rtl-bounded-search-63-51-v1:weight-2"",""weight"":2}",1953,0,211,0,1706,36,0,211/1953,211/1953,1742/1953,true,baseline/translation_invariance.json,,observation,characterized_with_sdc_or_invalid_state,PASS,baseline/implementation_aggregates/cyclic-rtl-bounded-search-63-51-v1.json
cyclic-rtl-bounded-search-63-51-v1,cyclic-rtl-bounded-search-63-51-v1:weight-3,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""observation"",""kind"":""all_combinations"",""total_masks"":39711,""universe_id"":""cyclic-rtl-bounded-search-63-51-v1:weight-3"",""weight"":3}",39711,0,0,33645,6066,0,0,0/1,11215/13237,2022/13237,true,baseline/translation_invariance.json,,observation,characterized_with_sdc_or_invalid_state,PASS,baseline/implementation_aggregates/cyclic-rtl-bounded-search-63-51-v1.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:weight-0,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""clean"",""kind"":""all_combinations"",""total_masks"":1,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:weight-0"",""weight"":0}",1,1,0,0,0,0,0,0/1,0/1,0/1,true,baseline/translation_invariance.json,,clean,clean,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:weight-1,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""correction"",""kind"":""all_combinations"",""total_masks"":8,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:weight-1"",""weight"":1}",8,0,8,0,0,0,0,1/1,1/1,0/1,true,baseline/translation_invariance.json,,correction,correction,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:weight-2,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""observation"",""kind"":""all_combinations"",""total_masks"":28,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:weight-2"",""weight"":2}",28,0,5,8,15,0,0,5/28,13/28,15/28,true,baseline/translation_invariance.json,,observation,characterized_with_sdc_or_invalid_state,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:weight-3,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""observation"",""kind"":""all_combinations"",""total_masks"":56,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:weight-3"",""weight"":3}",56,0,0,0,56,0,0,0/1,0/1,1/1,true,baseline/translation_invariance.json,,observation,characterized_with_sdc_or_invalid_state,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:all-masks,"{""coordinate_space"":""canonical storage coordinates"",""declared_capability"":""observation"",""kind"":""all_masks"",""total_masks"":256,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:all-masks"",""weight"":null}",256,1,13,32,195,15,0,13/256,45/256,105/128,true,baseline/translation_invariance.json,,observation,characterized_with_sdc_or_invalid_state,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1-archived-table-decoder:all-archived-correction-table-entries,"{""actual_position_weights"":{""1"":8,""2"":5},""coordinate_space"":""canonical storage coordinates from archived table"",""declared_capability"":""correction"",""kind"":""explicit"",""total_masks"":13,""universe_id"":""forge-hotspot-8-4-v1-archived-table-decoder:all-archived-correction-table-entries""}",13,0,13,0,0,0,0,1/1,1/1,0/1,true,baseline/translation_invariance.json,,correction,correction,PASS,baseline/implementation_aggregates/forge-hotspot-8-4-v1-archived-table-decoder.json
