raw_report_id,run_id,command_id,implementation_id,stage,report_type,location_kind,path,size_bytes,sha256,producer_tool,producer_version,config_id,rtl_sha256,library_sha256,activity_sha256,workload_id,retained_in_git,notes
raw-run-01-secded-verilator_build_log,run-01-secded,cmd-pilot-01-secded-verilator-build,secded-rtl-combinational-72-64-v1,rtl_elaboration,verilator_build_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-01/secded/verilator_build.log,1980,806be99bddd15a06c670db98c9a1857a1f74085855c4b3c24223d020fc9b434e,Verilator,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,e95e9fd7df24f75292d84f2cee773c40476b7933feee9614411e92693e7c9c40,,,,true,
raw-run-01-secded-functional_verification_log,run-01-secded,cmd-pilot-01-secded-verilated-sim,secded-rtl-combinational-72-64-v1,functional_simulation,functional_verification_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-01/secded/functional_verification.log,475,ab75939433ed1e9bc05414e5e33b0817e6c45bff8e3b756424a61d84dfb606c3,Verilated simulation,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,e95e9fd7df24f75292d84f2cee773c40476b7933feee9614411e92693e7c9c40,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-run-01-hsiao-verilator_build_log,run-01-hsiao,cmd-pilot-01-hsiao-verilator-build,hsiao-generated-combinational-72-64-v1,rtl_elaboration,verilator_build_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-01/hsiao/verilator_build.log,2198,0789c4a47c3e53332a3b52e89f10368bd60cef35e2aeadfada45dcdaba8cb6c4,Verilator,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,71ebcedb35be220dc27cda87707cc720401df0ce1f66f202f394b24a585e12ce,,,,true,
raw-run-01-hsiao-functional_verification_log,run-01-hsiao,cmd-pilot-01-hsiao-verilated-sim,hsiao-generated-combinational-72-64-v1,functional_simulation,functional_verification_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-01/hsiao/functional_verification.log,471,01ab8949d39ac953bd6c47e9d9b1bfc8fae551d5c7bcf83045bd13eceab23776,Verilated simulation,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,71ebcedb35be220dc27cda87707cc720401df0ce1f66f202f394b24a585e12ce,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-run-02-secded-verilator_build_log,run-02-secded,cmd-pilot-02-secded-verilator-build,secded-rtl-combinational-72-64-v1,rtl_elaboration,verilator_build_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-02/secded/verilator_build.log,1980,aa14c1dc7226db8f71b2816d521476d77521f51d4b7bb39434a8fc853512e052,Verilator,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,e95e9fd7df24f75292d84f2cee773c40476b7933feee9614411e92693e7c9c40,,,,true,
raw-run-02-secded-functional_verification_log,run-02-secded,cmd-pilot-02-secded-verilated-sim,secded-rtl-combinational-72-64-v1,functional_simulation,functional_verification_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-02/secded/functional_verification.log,475,521b6b0da8fa00fce37f6e42040c3855964e4c56cbdb84d6b441a70c1ce5ae89,Verilated simulation,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,e95e9fd7df24f75292d84f2cee773c40476b7933feee9614411e92693e7c9c40,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-run-02-hsiao-verilator_build_log,run-02-hsiao,cmd-pilot-02-hsiao-verilator-build,hsiao-generated-combinational-72-64-v1,rtl_elaboration,verilator_build_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-02/hsiao/verilator_build.log,2198,00ef594e0577c8efbe86d134e02a1f295b06c014b9e15fb00a8f12e47eca5446,Verilator,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,71ebcedb35be220dc27cda87707cc720401df0ce1f66f202f394b24a585e12ce,,,,true,
raw-run-02-hsiao-functional_verification_log,run-02-hsiao,cmd-pilot-02-hsiao-verilated-sim,hsiao-generated-combinational-72-64-v1,functional_simulation,functional_verification_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/run-02/hsiao/functional_verification.log,471,3de1bd206651807a71c81a09c4b3f00d9389736f10b52d171067571d4667ed77,Verilated simulation,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,71ebcedb35be220dc27cda87707cc720401df0ce1f66f202f394b24a585e12ce,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-run-00-invocation-defect-interrupted_invocation_log,run-00-invocation-defect,cmd-00-secded-vvp,secded-rtl-combinational-72-64-v1,functional_simulation,interrupted_invocation_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/failed-attempts/cmd-00-secded-vvp-interrupted.log,1211,f9e18573d9d746581138408dd0a674f4b5383cb85436dce11154f31173492a32,Icarus vvp,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-run-00-invocation-defect-partial_verification_vcd,run-00-invocation-defect,cmd-00-secded-vvp,secded-rtl-combinational-72-64-v1,functional_simulation,partial_verification_vcd,EXTERNAL_WINDOWS_TEMP,C:\Users\Abhinav\AppData\Local\Temp\green-ecc-gate03\61b2eec71e900ce698831b3f26011bc200dead40\run-01\secded\verification-stress-secded.vcd,7861241,7e87609f363ca3a66ac4ae5f3cac6d0778d1ab8ef11085dc312f63e3ca5d2f82,Icarus vvp,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,7e87609f363ca3a66ac4ae5f3cac6d0778d1ab8ef11085dc312f63e3ca5d2f82,verification-stress-v1,false,verification-only; prohibited as primary power
raw-run-00b-invocation-defect-interrupted_no_vcd_invocation_log,run-00b-invocation-defect,cmd-00b-secded-vvp,secded-rtl-combinational-72-64-v1,functional_simulation,interrupted_no_vcd_invocation_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/failed-attempts/cmd-00b-secded-vvp-interrupted.log,1190,69f23d54366de74e9e5ba07abcffdf2758e82f4d87ee233af4cebf04938b412a,Icarus vvp,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,verification-stress-v1,true,verification-only; prohibited as primary power
raw-isolated-staged-regression-make_log,isolated-staged-regression,cmd-regression-make,GATE03_VALIDATION,repository_validation,make_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/make.log,1788,21b41e134297d1261d764e70b51320975faa56695ef23b7fb9f24ea6403b93fa,make,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
raw-isolated-staged-regression-make-test-attempt-01_log,isolated-staged-regression,cmd-regression-make-test-attempt-01,GATE03_VALIDATION,repository_validation,make-test-attempt-01_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/make_test_attempt_01_timeout.log,2010,cf95b05521a05f9c7f7f1081e8c868107fbccae4df2a19d254711c65aeff9583,make,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
raw-isolated-staged-regression-make-test-attempt-02_log,isolated-staged-regression,cmd-regression-make-test-attempt-02,GATE03_VALIDATION,repository_validation,make-test-attempt-02_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/make_test.log,9772,16a690c1907b47f537d62b7836cb62703c8e29146d0f1aba9b20f1ac10b19277,make,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
raw-isolated-staged-regression-python3-pytest_log,isolated-staged-regression,cmd-regression-python3-pytest,GATE03_VALIDATION,repository_validation,python3-pytest_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/python3_pytest.log,6154,99e56fb817aa14fad0a5be16ae4da33ecb128850e0f121659f42afb9fa7889fb,python3,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
raw-isolated-staged-regression-git-diff-cached-check-attempt-01_log,isolated-staged-regression,cmd-regression-git-diff-cached-check-attempt-01,GATE03_VALIDATION,repository_validation,git-diff-cached-check-attempt-01_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/git_diff_cached_check_attempt_01.log,590,6d39e8e1c619d1faae04a354445072ddaeff3f59e2215652e03868c77f9ef152,git,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
raw-isolated-staged-regression-gate03-focused_log,isolated-staged-regression,cmd-regression-gate03-focused,GATE03_VALIDATION,repository_validation,gate03-focused_log,REPOSITORY,docs/date2027/rigour_gate_03/baseline/regression/gate03_focused.log,204,e34595d41f6abed050e096091a19402cc069f915b658b2a97db49ab288620737,python,recorded-in-toolchain-inventory,gate03-pilot-contract-v1,,,,,true,
