implementation_id,mathematical_code_id,canonical_identity_hash,n,k,r,eligibility,source_model,encoder_rtl_present,decoder_rtl_present,rtl_source_paths,encoder_top,decoder_top,parameters,synthesizable,organization,pipeline_depth,encoder_latency_cycles,decoder_latency_cycles,initiation_interval_cycles,protocol,clock_required,reset_required,generated_status,gate02_identity_status,existing_equivalence_evidence,hardware_structure_id,duplicate_or_alias_of,missing_hardware,physical_feasibility_status,evidence_paths,notes
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1,49dc2e5537bc0a4c1ab13f59c47c38452508d34711701d108fcf8c7c79ac50af,8,4,4,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/code_synthesis/verification_report.json"", ""status"": ""passed"", ""test_id"": ""forge-hotspot-8-4-v1-archived-verification""}]",unproven-hardware-structure:forge-hotspot-8-4-v1-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
forge-spatial-hotspot-72-64-v1-archived-table-decoder,forge-spatial-hotspot-72-64-v1,d84b4d8d12941b3defc9279055319795c1291c48c881e4dd0fea8e7ce3de6b02,72,64,8,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/code_synthesis_64/verification_report.json"", ""status"": ""passed"", ""test_id"": ""forge-spatial-hotspot-72-64-v1-archived-verification""}]",unproven-hardware-structure:forge-spatial-hotspot-72-64-v1-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-geometry-filtered-joint,c5d08f0f94c3570c57bfc778970fd7ee871388eabccf8c6abe0c69ecf5e42df6,72,64,8,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/portfolio_cosynthesis/result_manifest.json"", ""status"": ""passed"", ""test_id"": ""forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-verification""}]",unproven-hardware-structure:forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,09ca9d26918c9cfcf90238941a39f7addce39fb2563b8187c86684c7d051e8b9,72,64,8,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/portfolio_cosynthesis/result_manifest.json"", ""status"": ""passed"", ""test_id"": ""forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-verification""}]",unproven-hardware-structure:forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
hsiao-generated-combinational-72-64-v1,hsiao-secded-72-64-v1,1cc658a0e86f0911d0d26def91d61c2b4dc146daaea531a5a923aabf0ca387a7,72,64,8,ELIGIBLE,synthesizable_rtl,true,true,green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_decoder.sv;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv,hsiao_secded_72_64_v1_encoder,hsiao_secded_72_64_v1_decoder,{},true,combinational,0,0,0,1,combinational_request_response,false,false,generated,CONDITIONAL PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_hardware_validation/validation_summary.json"", ""status"": ""passed"", ""test_id"": ""safeforge_72_modeled_campaign""}]",hsiao-minimum-odd-column-xor-network-v1,,,PILOT_ELIGIBLE_PHYSICAL_FLOW_BLOCKED,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
odd-column-secded-4-8-archived-table-decoder,odd-column-secded-4-8,7d9acf2646a27cf06ea471cbf59e1441b9f016e7521b04392ef331d3594183b1,8,4,4,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/code_synthesis/verification_report.json"", ""status"": ""passed"", ""test_id"": ""odd-column-secded-4-8-archived-verification""}]",unproven-hardware-structure:odd-column-secded-4-8-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
odd-column-secded-64-72-archived-table-decoder,odd-column-secded-64-72,87ed90354ccfee0c259dc22e434bbde5eb304f19b65e5736e67ca25b39609465,72,64,8,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/code_synthesis_64/verification_report.json"", ""status"": ""passed"", ""test_id"": ""odd-column-secded-64-72-archived-verification""}]",unproven-hardware-structure:odd-column-secded-64-72-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
primitive-bch-63-51-t2-v1-reference-decoder,primitive-bch-63-51-t2-v1,dc4a35db0a55a201b093e4dbb3a56afe458a1584da0449e9a618991f7516f6c1,63,51,12,ELIGIBLE,reference_or_archived_model,false,false,,,,"{""K"":51,""M"":6,""N"":63,""T"":2}",false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""green_ecc_physical_simulation/evidence/primitive_bch_construction_certificate.json"", ""status"": ""passed"", ""test_id"": ""exhaustive_masks_through_t2""}]",unproven-hardware-structure:primitive-bch-63-51-t2-v1-reference-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
safeforge-robust-72-64-mapping-v1-archived-table-decoder,safeforge-robust-72-64-mapping-v1,e35ef5501ec323bb0f5089c3701d3e6e87fa3d8f1e5f25b553eb069943c71bb0,72,64,8,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_64_study/result_manifest.json"", ""status"": ""passed"", ""test_id"": ""safeforge-robust-72-64-mapping-v1-archived-verification""}]",unproven-hardware-structure:safeforge-robust-72-64-mapping-v1-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
safeforge-robust-8-4-v1-archived-table-decoder,safeforge-robust-8-4-v1,0ac2f963bef8de2c041768b64945ddab3b0b0df9eca3d2559d4be2e43d97b034,8,4,4,ELIGIBLE,reference_or_archived_model,false,false,,,,{},false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_study/result_manifest.json"", ""status"": ""passed"", ""test_id"": ""safeforge-robust-8-4-v1-archived-verification""}]",unproven-hardware-structure:safeforge-robust-8-4-v1-archived-table-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
secded-rtl-combinational-72-64-v1,extended-hamming-secded-72-64-v1,40bc866e1a85aa0d8597f49fa6e97bc29a5e64d75631e13ba90ec2befcd3f749,72,64,8,ELIGIBLE,synthesizable_rtl,true,true,asic/include/ecc_pkg.sv;asic/rtl/secded/secded_codec.sv;asic/tb/tb_secded.sv,secded_encoder,secded_decoder,"{""DATA_W"":64}",true,combinational,0,0,0,1,combinational_request_response,false,false,pre_existing,CONDITIONAL PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_hardware_validation/validation_summary.json"", ""status"": ""passed"", ""test_id"": ""tb_secded""}]",positional-extended-hamming-xor-network-v1,,,PILOT_ELIGIBLE_PHYSICAL_FLOW_BLOCKED,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
shortened-bch-71-64-t1-v1-reference-decoder,shortened-bch-71-64-t1-v1,bccf6d736155bfd00081ce82e82ea5e92d1695e5ba5fe6f7cbba10e6b2818600,71,64,7,ELIGIBLE,reference_or_archived_model,false,false,,,,"{""K"":64,""M"":7,""N"":71,""T"":1}",false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""green_ecc_physical_simulation/evidence/primitive_bch_construction_certificate.json"", ""status"": ""passed"", ""test_id"": ""exhaustive_masks_through_t1""}]",unproven-hardware-structure:shortened-bch-71-64-t1-v1-reference-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
shortened-bch-78-64-t2-v1-reference-decoder,shortened-bch-78-64-t2-v1,d518cab40c77da302afecab0e8199f3f0c4e0b2c095660d5d0df8a1e2dae4e89,78,64,14,ELIGIBLE,reference_or_archived_model,false,false,,,,"{""K"":64,""M"":7,""N"":78,""T"":2}",false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""green_ecc_physical_simulation/evidence/primitive_bch_construction_certificate.json"", ""status"": ""passed"", ""test_id"": ""exhaustive_masks_through_t2""}]",reference-only-no-rtl-shortened-bch-78-64-t2-v1,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
shortened-bch-85-64-t3-v1-reference-decoder,shortened-bch-85-64-t3-v1,2e91075d540614502e7785c5d6f92f880717e268442f52dce9fe2342b0669c1a,85,64,21,ELIGIBLE,reference_or_archived_model,false,false,,,,"{""K"":64,""M"":7,""N"":85,""T"":3}",false,reference_only,0,0,0,1,combinational_request_response,false,false,reference_only,PASS,"[{""kind"": ""rtl_reference_differential"", ""path"": ""green_ecc_physical_simulation/evidence/primitive_bch_construction_certificate.json"", ""status"": ""passed"", ""test_id"": ""exhaustive_masks_through_t3""}]",unproven-hardware-structure:shortened-bch-85-64-t3-v1-reference-decoder,,synthesizable_encoder_rtl;synthesizable_decoder_rtl,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
cyclic-rtl-bounded-search-63-51-v1,repository-cyclic-63-51-v1,da68eda6f3ec09f4d759a3860903eca9021ad23f8a0a4a519c3edbb3988ab5f0,63,51,12,EXCLUDED,synthesizable_rtl,true,true,asic/rtl/bch/bch_codec.sv;asic/tb/tb_bch.sv,bch_encoder,bch_decoder,"{""G_POLY"":""13'b1_000111101011"",""K"":51,""N"":63}",true,combinational,0,0,0,1,combinational_request_response,false,false,pre_existing,REJECTED,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_hardware_validation/validation_summary.json"", ""status"": ""passed"", ""test_id"": ""tb_bch""}]",unproven-hardware-structure:cyclic-rtl-bounded-search-63-51-v1,,,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
secdaec-rtl-bounded-72-64-v1,extended-hamming-secded-72-64-v1,40bc866e1a85aa0d8597f49fa6e97bc29a5e64d75631e13ba90ec2befcd3f749,72,64,8,EXCLUDED,synthesizable_rtl,true,true,asic/include/ecc_pkg.sv;asic/rtl/secded/secded_codec.sv;asic/rtl/secdaec/secdaec_codec.sv;asic/tb/tb_secdaec.sv,secdaec_encoder,secdaec_decoder,"{""DATA_W"":64}",true,combinational,0,0,0,1,combinational_request_response,false,false,pre_existing,REJECTED,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_hardware_validation/validation_summary.json"", ""status"": ""passed"", ""test_id"": ""tb_secdaec""}]",unproven-hardware-structure:secdaec-rtl-bounded-72-64-v1,,,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
taec-rtl-bounded-72-64-v1,extended-hamming-secded-72-64-v1,40bc866e1a85aa0d8597f49fa6e97bc29a5e64d75631e13ba90ec2befcd3f749,72,64,8,EXCLUDED,synthesizable_rtl,true,true,asic/include/ecc_pkg.sv;asic/rtl/secded/secded_codec.sv;asic/rtl/taec/taec_codec.sv;asic/tb/tb_taec.sv,taec_encoder,taec_decoder,"{""DATA_W"":64}",true,combinational,0,0,0,1,combinational_request_response,false,false,pre_existing,PARTIAL,"[{""kind"": ""rtl_reference_differential"", ""path"": ""reports/safeforge_hardware_validation/validation_summary.json"", ""status"": ""passed"", ""test_id"": ""tb_taec""}]",unproven-hardware-structure:taec-rtl-bounded-72-64-v1,,,BLOCKED_NO_SYNTHESIZABLE_RTL,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json,Gate-02 code_id copied exactly; no inferred identity merge
