code_rate,code_spec_id,encoded_bits_per_64b_payload,k,n,padding_information_bits,parity_bits
0.8888888888888888,extended-hamming-secded-72-64-v1,72,64,72,0,8
0.5,forge-hotspot-8-4-v1,128,4,8,0,4
0.8888888888888888,forge-spatial-hotspot-72-64-v1,72,64,72,0,8
0.8888888888888888,forge-sram-portfolio-72-64-v1-geometry-filtered-joint,72,64,72,0,8
0.8888888888888888,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,72,64,72,0,8
0.8888888888888888,hsiao-secded-72-64-v1,72,64,72,0,8
0.5,odd-column-secded-4-8,128,4,8,0,4
0.8888888888888888,odd-column-secded-64-72,72,64,72,0,8
0.8095238095238095,primitive-bch-63-51-t2-v1,126,51,63,38,12
0.8095238095238095,repository-cyclic-63-51-v1,126,51,63,38,12
0.8888888888888888,safeforge-robust-72-64-mapping-v1,72,64,72,0,8
0.5,safeforge-robust-8-4-v1,128,4,8,0,4
0.9014084507042254,shortened-bch-71-64-t1-v1,71,64,71,0,7
0.8205128205128205,shortened-bch-78-64-t2-v1,78,64,78,0,14
0.7529411764705882,shortened-bch-85-64-t3-v1,85,64,85,0,21
