abstained,correctly_corrected,declared_tested_patterns,detected_uncorrectable,implementation_id,silently_miscorrected,unsupported
0,30,63,0,cyclic-rtl-bounded-search-63-51-v1,33,0
0,21,21,0,forge-hotspot-8-4-v1-archived-table-decoder,0,0
0,195,195,0,forge-spatial-hotspot-72-64-v1-archived-table-decoder,0,0
0,176,176,0,forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,0,0
0,168,168,0,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,0,0
0,72,2628,2556,hsiao-generated-combinational-72-64-v1,0,0
0,16,44,28,odd-column-secded-4-8-archived-table-decoder,0,0
0,144,2700,2556,odd-column-secded-64-72-archived-table-decoder,0,0
0,2016,2016,0,primitive-bch-63-51-t2-v1-reference-decoder,0,0
0,56,56,0,safeforge-robust-72-64-mapping-v1-archived-table-decoder,0,0
0,8,8,0,safeforge-robust-8-4-v1-archived-table-decoder,0,0
0,92,2691,2244,secdaec-rtl-bounded-72-64-v1,355,0
0,72,2628,2556,secded-rtl-combinational-72-64-v1,0,0
0,71,71,0,shortened-bch-71-64-t1-v1-reference-decoder,0,0
0,3081,3081,0,shortened-bch-78-64-t2-v1-reference-decoder,0,0
0,102425,102425,0,shortened-bch-85-64-t3-v1-reference-decoder,0,0
0,72,2690,2556,taec-rtl-bounded-72-64-v1,62,0
