implementation_id,pareto_percent,pareto_scenarios,selected_percent,selected_scenarios
forge-hotspot-8-4-v1-archived-table-decoder,0.0,0,0.0,0
forge-spatial-hotspot-72-64-v1-archived-table-decoder,33.333333333333336,64,0.0,0
forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,16.666666666666668,32,0.0,0
forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,33.333333333333336,64,0.0,0
hsiao-generated-combinational-72-64-v1,50.0,96,33.333333333333336,64
odd-column-secded-4-8-archived-table-decoder,33.333333333333336,64,0.0,0
odd-column-secded-64-72-archived-table-decoder,16.666666666666668,32,0.0,0
primitive-bch-63-51-t2-v1-reference-decoder,83.33333333333333,160,0.0,0
safeforge-robust-72-64-mapping-v1-archived-table-decoder,50.0,96,16.666666666666668,32
safeforge-robust-8-4-v1-archived-table-decoder,16.666666666666668,32,0.0,0
secded-rtl-combinational-72-64-v1,16.666666666666668,32,0.0,0
shortened-bch-71-64-t1-v1-reference-decoder,16.666666666666668,32,16.666666666666668,32
shortened-bch-78-64-t2-v1-reference-decoder,83.33333333333333,160,16.666666666666668,32
shortened-bch-85-64-t3-v1-reference-decoder,66.66666666666667,128,16.666666666666668,32
taec-rtl-bounded-72-64-v1,16.666666666666668,32,0.0,0
