code_spec_id,partially_verified,rejected,verified
extended-hamming-secded-72-64-v1,1,1,1
forge-hotspot-8-4-v1,,,1
forge-spatial-hotspot-72-64-v1,,,1
forge-sram-portfolio-72-64-v1-geometry-filtered-joint,,,1
forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,,,1
hsiao-secded-72-64-v1,,,1
odd-column-secded-4-8,,,1
odd-column-secded-64-72,,,1
primitive-bch-63-51-t2-v1,,,1
repository-cyclic-63-51-v1,,1,
safeforge-robust-72-64-mapping-v1,,,1
safeforge-robust-8-4-v1,,,1
shortened-bch-71-64-t1-v1,,,1
shortened-bch-78-64-t2-v1,,,1
shortened-bch-85-64-t3-v1,,,1
