decoder_complexity_proxy,encoder_xor_operations,generic_structural_cell_count,implementation_id,logic_depth_proxy,normalized_decoder_complexity,syndrome_xor_operations
82,8,,forge-hotspot-8-4-v1-archived-table-decoder,6,3.3399194916479614e-05,12
1372,206,,forge-spatial-hotspot-72-64-v1-archived-table-decoder,12,0.000558825553968415,214
1178,202,,forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,12,0.00047980794648308517,210
1096,200,,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,12,0.0004464087515666055,208
856,200,,hsiao-generated-combinational-72-64-v1,12,0.00034865501034764084,208
52,8,,odd-column-secded-4-8-archived-table-decoder,5,2.117997726410902e-05,12
888,232,,odd-column-secded-64-72-archived-table-decoder,13,0.00036168884251016947,240
28489,316,,primitive-bch-63-51-t2-v1-reference-decoder,16,0.011603776389946191,328
805,232,,safeforge-robust-72-64-mapping-v1-archived-table-decoder,12,0.0003278823403386108,240
53,5,,safeforge-robust-8-4-v1-archived-table-decoder,5,2.158728451918804e-05,9
888,232,,secded-rtl-combinational-72-64-v1,13,0.00036168884251016947,240
773,198,,shortened-bch-71-64-t1-v1-reference-decoder,12,0.00031484850817608217,205
49677,445,,shortened-bch-78-64-t2-v1-reference-decoder,18,0.020233802510560457,459
2455149,668,,shortened-bch-85-64-t3-v1-reference-decoder,23,1.0,689
888,232,,taec-rtl-bounded-72-64-v1,13,0.00036168884251016947,240
