claim_id,paper_section,experiment,baseline_identity,changed_identity,condition,seed,metric,raw_value,display_value,unit,source_artifact,source_hash,qualification_status
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,11,standard-cell area effect,36.70222751433431,+36.7,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,13,standard-cell area effect,37.27411336475794,+37.3,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,17,standard-cell area effect,36.83842375053395,+36.8,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,19,standard-cell area effect,37.437953622007555,+37.4,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,23,standard-cell area effect,37.756600211895176,+37.8,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_AREA,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,aggregate_mean,standard-cell area effect,37.201863692705786,+37.2,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_WIRE,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,11,detailed-wire effect,12.067071667152367,+12.1,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_WIRE,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,13,detailed-wire effect,10.632609320105177,+10.6,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_WIRE,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,17,detailed-wire effect,10.762054252426326,+10.8,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_WIRE,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,19,detailed-wire effect,11.454196599883986,+11.5,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
