study,metric,seed,percent
Temporal SECDED,Area,11,36.70222751433431
Temporal SECDED,Area,13,37.27411336475794
Temporal SECDED,Area,17,36.83842375053395
Temporal SECDED,Area,19,37.437953622007555
Temporal SECDED,Area,23,37.756600211895176
Temporal SECDED,Wire,11,12.067071667152367
Temporal SECDED,Wire,13,10.632609320105177
Temporal SECDED,Wire,17,10.762054252426326
Temporal SECDED,Wire,19,11.454196599883986
Temporal SECDED,Wire,23,11.28201683682608
Temporal SECDED,Timing,11,45.910938089375065
Temporal SECDED,Timing,13,55.34267126552815
Temporal SECDED,Timing,17,44.992037607527074
Temporal SECDED,Timing,19,42.11616956661049
Temporal SECDED,Timing,23,44.78495838184442
Temporal SECDED,Energy,11,-24.016027025898108
Temporal SECDED,Energy,13,-23.79867187892941
Temporal SECDED,Energy,17,-23.52597096131095
Temporal SECDED,Energy,19,-23.235413315978757
Temporal SECDED,Energy,23,-22.518942930942384
Structural Hsiao,Area,11,-0.877074548740219
Structural Hsiao,Area,13,-0.7106508999144887
Structural Hsiao,Area,17,-0.24874711928888726
Structural Hsiao,Area,19,-0.4160512575149258
Structural Hsiao,Area,23,-0.5680839176904845
Structural Hsiao,Wire,11,3.995751758411318
Structural Hsiao,Wire,13,1.7829364604523155
Structural Hsiao,Wire,17,2.9960281457287445
Structural Hsiao,Wire,19,8.30360561904186
Structural Hsiao,Wire,23,2.257436082826213
Structural Hsiao,Timing,11,-5.8868844835878935
Structural Hsiao,Timing,13,1.2023619694130587
Structural Hsiao,Timing,17,13.105802687096945
Structural Hsiao,Timing,19,1.3944664650047105
Structural Hsiao,Timing,23,3.4625071666157368
Structural Hsiao,Energy,11,1.8906776906129092
Structural Hsiao,Energy,13,0.14389697279642558
Structural Hsiao,Energy,17,0.8561146098131285
Structural Hsiao,Energy,19,2.497265449835875
Structural Hsiao,Energy,23,1.254018726112696
