panel,metric,mean_percent,mean_mw
power,Internal,6.772351805117499,0.4570654593408
power,Switching,-49.48133171156401,-3.8706950843334003
power,Leakage,34.426793795511834,2.5131789982424003e-06
power,Total,-23.419005222611926,-3.413627110418001
power,Combinational group,-55.496920516872436,-6.057152617723999
power,Sequential group,70.8610032704096,1.5650674235074002
power,Clock group,74.3379357275997,1.0784596903252
10 ns,Area,37.201863692705786,
10 ns,Timing,46.62935498217704,
10 ns,Energy,-23.419005222611922,
5 ns,Area,36.721137579086886,
5 ns,Timing,68.6296531578486,
5 ns,Energy,-19.336605982713372,
