effect,seed,percent
achievable_energy_percent,11,-24.016027025898108
achievable_energy_percent,13,-23.79867187892941
achievable_energy_percent,17,-23.52597096131095
achievable_energy_percent,19,-23.235413315978757
achievable_energy_percent,23,-22.518942930942384
area_percent,11,36.70222751433431
area_percent,13,37.27411336475794
area_percent,17,36.83842375053395
area_percent,19,37.437953622007555
area_percent,23,37.756600211895176
cell_count_percent,11,28.254580520732887
cell_count_percent,13,28.227360308285164
cell_count_percent,17,28.055822906641005
cell_count_percent,19,28.302796528447445
cell_count_percent,23,28.44744455159113
detailed_wirelength_percent,11,12.067071667152367
detailed_wirelength_percent,13,10.632609320105177
detailed_wirelength_percent,17,10.762054252426326
detailed_wirelength_percent,19,11.454196599883986
detailed_wirelength_percent,23,11.28201683682608
slack_derived_frequency_percent,11,45.910938089375065
slack_derived_frequency_percent,13,55.34267126552815
slack_derived_frequency_percent,17,44.992037607527074
slack_derived_frequency_percent,19,42.11616956661049
slack_derived_frequency_percent,23,44.78495838184442
total_power_percent,11,-24.01602702589812
total_power_percent,13,-23.798671878929408
total_power_percent,17,-23.525970961310957
total_power_percent,19,-23.235413315978764
total_power_percent,23,-22.518942930942387
