trace_id,design_id,architecture_mode,topology,granularity,policy,status,total_objective,epoch_objective,transition_objective,transitions
stationary_sbu,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.09780000000000004,0.09780000000000004,0.0,0
stationary_sbu,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.11388,0.11388,0.0,0
stationary_sbu,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.13908,0.13908,0.0,0
stationary_sbu,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.10392,0.10392,0.0,0
stationary_sbu,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.10871999999999998,0.10871999999999998,0.0,0
stationary_sbu,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.10332000000000002,0.10332000000000002,0.0,0
stationary_sbu,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.11064000000000002,0.11064000000000002,0.0,0
stationary_mbu,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.15960000000000005,0.15960000000000005,0.0,0
stationary_mbu,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.13188,0.13188,0.0,0
stationary_mbu,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.11435999999999998,0.11435999999999998,0.0,0
stationary_mbu,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.12047999999999998,0.12047999999999998,0.0,0
stationary_mbu,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.12528000000000003,0.12528000000000003,0.0,0
stationary_mbu,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.11988,0.11988,0.0,0
stationary_mbu,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.1272,0.1272,0.0,0
one_time_sbu_to_mbu,fixed-secded,fixed,fixed,whole_memory,best_static,ok,1.2654,1.2654,0.0,0
one_time_sbu_to_mbu,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,1.2028799999999997,1.2028799999999997,0.0,0
one_time_sbu_to_mbu,fixed-taec,fixed,fixed,whole_memory,best_static,ok,1.23696,1.23696,0.0,0
one_time_sbu_to_mbu,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,1.2522,1.2522,0.0,0
one_time_sbu_to_mbu,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,1.112482912,1.0997999999999999,0.012682912,1
one_time_sbu_to_mbu,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,1.0962829120000002,1.0836000000000001,0.012682912,1
one_time_sbu_to_mbu,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,1.1684029120000001,1.15572,0.012682912,1
periodic_fault_transitions,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.17160000000000003,0.17160000000000003,0.0,0
periodic_fault_transitions,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.16383999999999999,0.16383999999999999,0.0,0
periodic_fault_transitions,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.16896,0.16896,0.0,0
periodic_fault_transitions,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.17200000000000001,0.17200000000000001,0.0,0
periodic_fault_transitions,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.17284287999999995,0.16719999999999996,0.00564288,4
periodic_fault_transitions,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.17120000000000002,0.17120000000000002,0.0,0
periodic_fault_transitions,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.17540288,0.16976000000000002,0.00564288,4
short_noisy_fluctuations,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.06438,0.06438,0.0,0
short_noisy_fluctuations,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.06604,0.06604,0.0,0
short_noisy_fluctuations,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.072744,0.072744,0.0,0
short_noisy_fluctuations,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.0687,0.0687,0.0,0
short_noisy_fluctuations,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.07413999999999998,0.07413999999999998,0.0,0
short_noisy_fluctuations,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.0679,0.0679,0.0,0
short_noisy_fluctuations,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.0719,0.0719,0.0,0
temperature_vdd_phases,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.17376225000000003,0.17376225000000003,0.0,0
temperature_vdd_phases,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.20192381250000005,0.20192381250000005,0.0,0
temperature_vdd_phases,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.24610794374999997,0.24610794374999997,0.0,0
temperature_vdd_phases,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.18468225,0.18468225,0.0,0
temperature_vdd_phases,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.19068225,0.19068225,0.0,0
temperature_vdd_phases,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.18408225000000003,0.18408225000000003,0.0,0
temperature_vdd_phases,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.19860224999999995,0.19860224999999995,0.0,0
changing_read_write_intensity,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.19860000000000003,0.19860000000000003,0.0,0
changing_read_write_intensity,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.23028000000000004,0.23028000000000004,0.0,0
changing_read_write_intensity,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.28092,0.28092,0.0,0
changing_read_write_intensity,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.20952,0.20952,0.0,0
changing_read_write_intensity,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.21552,0.21552,0.0,0
changing_read_write_intensity,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.20892000000000002,0.20892000000000002,0.0,0
changing_read_write_intensity,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.22343999999999997,0.22343999999999997,0.0,0
grid_carbon_transition,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.9564,0.9564,0.0,0
grid_carbon_transition,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,1.1128800000000003,1.1128800000000003,0.0,0
grid_carbon_transition,fixed-taec,fixed,fixed,whole_memory,best_static,ok,1.3605600000000002,1.3605600000000002,0.0,0
grid_carbon_transition,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,1.0057199999999997,1.0057199999999997,0.0,0
grid_carbon_transition,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,1.02132,1.02132,0.0,0
grid_carbon_transition,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,1.0051200000000002,1.0051200000000002,0.0,0
grid_carbon_transition,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,1.07724,1.07724,0.0,0
combined_changes,fixed-secded,fixed,fixed,whole_memory,best_static,infeasible,,,,0
combined_changes,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.7329106249999997,0.7329106249999997,0.0,0
combined_changes,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.75238475,0.75238475,0.0,0
combined_changes,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.7666706250000002,0.7666706250000002,0.0,0
combined_changes,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.7125206820000001,0.67866625,0.033854432,3
combined_changes,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.698920682,0.66506625,0.033854432,3
combined_changes,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.7470806819999998,0.7132262499999997,0.033854432,3
uncertain_transitions,fixed-secded,fixed,fixed,whole_memory,best_static,ok,0.3297,0.3297,0.0,0
uncertain_transitions,fixed-secdaec,fixed,fixed,whole_memory,best_static,ok,0.32083999999999996,0.32083999999999996,0.0,0
uncertain_transitions,fixed-taec,fixed,fixed,whole_memory,best_static,ok,0.33756,0.33756,0.0,0
uncertain_transitions,configurable-gated-bank,configurable,gated_parallel,bank,best_static,ok,0.33540000000000003,0.33540000000000003,0.0,0
uncertain_transitions,adaptive-parallel-bank,adaptive,gated_parallel,bank,transition_aware_dp,ok,0.32120860799999995,0.31251999999999996,0.008688608,3
uncertain_transitions,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,transition_aware_dp,ok,0.332462912,0.31978,0.012682912,1
uncertain_transitions,adaptive-shared-page,adaptive,shared_reconfigurable,page,transition_aware_dp,ok,0.3317686079999999,0.3230799999999999,0.008688608,3
